offset_V,s1_dbm,s2_dbm
-6,-38.2196,-86.3513
-5.9,-38.2452,-82.865
-5.8,-38.2968,-84.7147
-5.7,-38.3733,-78.6663
-5.6,-38.5027,-76.3308
-5.5,-38.6265,-73.6983
-5.4,-38.8011,-73.2372
-5.3,-39.0142,-73.1091
-5.2,-39.2459,-71.7427
-5.1,-39.5095,-70.0716
-5,-39.8143,-69.2439
-4.9,-40.1367,-69.1507
-4.8,-40.5269,-68.3549
-4.7,-40.9726,-66.7988
-4.6,-41.4543,-66.0538
-4.5,-42.0117,-65.8894
-4.4,-42.6215,-65.5696
-4.3,-43.3113,-65.5166
-4.2,-44.1049,-65.4936
-4.1,-45.0056,-65.2018
-4,-46.0235,-64.6138
-3.9,-47.2289,-64.2484
-3.8,-48.6798,-64.2332
-3.7,-50.4375,-63.9714
-3.6,-52.6234,-63.8939
-3.5,-55.6758,-64.2028
-3.4,-60.5457,-63.7072
-3.3,-72.0656,-64.1639
-3.2,-66.8478,-63.5548
-3.1,-58.6416,-63.6503
-3,-54.5921,-64.204
-2.9,-51.8936,-64.5264
-2.8,-49.7851,-63.926
-2.7,-48.1487,-64.4585
-2.6,-46.7814,-64.3559
-2.5,-45.6143,-64.3516
-2.4,-44.6442,-65.2137
-2.3,-43.7652,-64.9109
-2.2,-42.9976,-66.2023
-2.1,-42.3187,-66.3871
-2,-41.7137,-66.136
-1.9,-41.1695,-66.4699
-1.8,-40.7142,-67.9887
-1.7,-40.2683,-68.684
-1.6,-39.9185,-68.9868
-1.5,-39.5808,-69.7283
-1.4,-39.2824,-70.0732
-1.3,-39.0269,-70.8521
-1.2,-38.8206,-71.9322
-1.1,-38.6291,-75.3213
-1,-38.4681,-76.5726
-0.9,-38.3468,-81.5285
-0.8,-38.2619,-80.8379
-0.7,-38.2077,-85.4964
-0.6,-38.1778,-90.3708
-0.5,-38.1828,-90.7817
-0.4,-38.2062,-81.0966
-0.3,-38.2703,-80.0588
-0.2,-38.3728,-75.4857
-0.1,-38.4904,-75.2573
0,-38.6357,-73.196
0.1,-38.8386,-71.4545
0.2,-39.0648,-71.3768
0.3,-39.3203,-69.8197
0.4,-39.633,-69.8996
0.5,-39.9763,-68.0127
0.6,-40.3751,-68.1224
0.7,-40.8064,-67.5998
0.8,-41.3186,-67.0551
0.9,-41.8629,-66.3564
1,-42.4979,-66.1433
1.1,-43.2116,-65.2284
1.2,-44.0197,-65.6571
1.3,-44.9512,-64.7973
1.4,-46.0044,-64.5587
1.5,-47.2677,-64.5511
1.6,-48.7306,-64.1977
1.7,-50.5891,-64.1899
1.8,-52.9477,-64.0275
1.9,-56.3212,-63.7711
2,-61.8785,-64.1012
2.1,-81.2559,-64.0249
2.2,-63.7425,-63.4993
2.3,-57.245,-64.2958
2.4,-53.5533,-63.922
2.5,-51.0646,-63.9808
2.6,-49.0954,-64.3214
2.7,-47.5073,-64.8758
2.8,-46.2439,-65.0752
2.9,-45.1432,-65.2359
3,-44.1447,-65.0122
3.1,-43.3404,-65.7099
3.2,-42.6063,-65.4821
3.3,-41.9508,-65.8808
3.4,-41.393,-66.3611
3.5,-40.8753,-67.5795
3.6,-40.4158,-68.0818
3.7,-40.0132,-68.3706
3.8,-39.6709,-68.9733
3.9,-39.3571,-70.1533
4,-39.1028,-71.1499
4.1,-38.8551,-71.7867
4.2,-38.6554,-73.1151
4.3,-38.5019,-74.709
4.4,-38.369,-76.6905
4.5,-38.2688,-78.5964
4.6,-38.2075,-83.3842
4.7,-38.165,-83.1488
4.8,-38.1827,-92.1035
4.9,-38.1964,-93.3084
5,-38.2598,-79.8443
5.1,-38.3628,-78.0857
5.2,-38.4835,-77.653
5.3,-38.6284,-75.7157
5.4,-38.8288,-74.1637
5.5,-39.0568,-71.766
5.6,-39.3321,-70.4995
5.7,-39.6341,-69.6815
5.8,-40.0015,-68.6321
5.9,-40.3996,-67.898
6,-40.8468,-68.0183
