actual_offset_V,s1_dbm,s2_dbm
-3.3,-41.5747,-83.1649
-3.2,-41.6191,-79.7259
-3.1,-41.6614,-76.0634
-3,-41.765,-75.041
-2.9,-41.8644,-75.1427
-2.8,-42.0152,-72.8582
-2.7,-42.1866,-71.5045
-2.6,-42.3896,-71.539
-2.5,-42.6413,-71.3261
-2.4,-42.9079,-70.0442
-2.3,-43.2152,-69.2801
-2.2,-43.5534,-67.804
-2.1,-43.9468,-68.0806
-2,-44.3795,-67.2162
-1.9,-44.8379,-66.9097
-1.8,-45.3896,-66.6704
-1.7,-45.954,-65.7194
-1.6,-46.5962,-65.5107
-1.5,-47.2965,-65.7093
-1.4,-48.0941,-65.5762
-1.3,-48.9671,-64.3874
-1.2,-49.942,-64.9471
-1.1,-50.9906,-64.6834
-1,-52.1845,-64.6454
-0.9,-53.2826,-64.0896
-0.8,-54.3411,-64.5213
-0.7,-55.0176,-64.5677
-0.6,-55.1623,-63.9989
-0.5,-54.6793,-63.9048
-0.4,-53.7802,-64.124
-0.3,-52.6265,-64.543
-0.2,-51.501,-64.2043
-0.1,-50.4147,-64.8369
0,-49.3822,-64.7219
0.1,-48.4345,-65.467
0.2,-47.5671,-65.2075
0.3,-46.805,-65.9915
0.4,-46.1115,-66.0324
0.5,-45.4978,-65.8172
0.6,-44.9396,-66.7862
0.7,-44.4492,-66.7393
0.8,-43.9953,-67.1314
0.9,-43.5781,-67.7864
1,-43.2122,-68.3286
1.1,-42.9169,-69.9461
1.2,-42.6352,-70.7461
1.3,-42.3498,-72.2911
1.4,-42.1377,-72.9005
1.5,-41.9487,-72.8601
1.6,-41.804,-73.9287
1.7,-41.6887,-76.1256
1.8,-41.6094,-79.9493
1.9,-41.5488,-91.5034
2,-41.5349,-87.8766
2.1,-41.5166,-91.7654
2.2,-41.5462,-88.9726
2.3,-41.5757,-81.9743
2.4,-41.6637,-80.0893
2.5,-41.7711,-75.923
2.6,-41.908,-73.7598
2.7,-42.0813,-73.4994
2.8,-42.3118,-72.2915
2.9,-42.5625,-71.5303
3,-42.8235,-69.4258
3.1,-43.1367,-69.165
3.2,-43.48,-68.7825
3.3,-43.8899,-67.2216
3.4,-44.3155,-66.9753
3.5,-44.8484,-66.5174
3.6,-45.4172,-66.2604
3.7,-46.0164,-66.3368
3.8,-46.6929,-65.3848
3.9,-47.4669,-65.6409
4,-48.2962,-64.9673
4.1,-49.2561,-64.8023
4.2,-50.2914,-64.5695
4.3,-51.3952,-64.76
4.4,-52.5918,-64.7686
4.5,-53.7766,-64.088
4.6,-54.675,-64.0222
4.7,-55.11,-64.2112
4.8,-54.9006,-64.292
4.9,-54.1902,-64.1102
5,-53.0505,-64.6645
5.1,-51.912,-64.0129
5.2,-50.7266,-64.3255
5.3,-49.6465,-64.8375
5.4,-48.7281,-64.5381
5.5,-47.8181,-64.9407
5.6,-47.0039,-65.5341
5.7,-46.2957,-65.4072
5.8,-45.669,-66.5607
5.9,-45.0665,-67.1148
6,-44.5557,-66.58
6.1,-44.0767,-67.1555
6.2,-43.6864,-67.7849
6.3,-43.2733,-69.244
6.4,-42.9438,-70.0789
6.5,-42.6637,-69.8035
6.6,-42.4163,-70.7941
6.7,-42.1771,-71.7718
6.8,-41.9877,-73.6796
6.9,-41.8342,-73.6283
7,-41.8306,-76.0744
7.1,-41.8239,-74.3487
7.2,-41.8274,-75.3038
7.3,-41.8015,-76.0152
7.4,-41.7949,-74.2018
7.5,-41.7969,-73.8554
7.6,-41.8007,-76.5334
7.7,-41.7934,-75.533
7.8,-41.7895,-74.2896
7.9,-41.7893,-75.5759
8,-41.7875,-75.1081
8.1,-41.785,-76.1357
8.2,-41.7876,-76.705
8.3,-41.7955,-77.3275
8.4,-41.7843,-76.9266
8.5,-41.7892,-76.4823
8.6,-41.7802,-75.4485
8.7,-41.7674,-74.9654
