timestamp_s,s1_dbm,s2_dbm,dir,probe_V,step_V,offset_V
0.895,-42.429,-70.829,→,0.1000,0.02094,2.12094
1.773,-41.570,-81.433,←,0.1000,0.01033,2.11060
2.643,-41.572,-82.303,←,0.1000,0.00946,2.10114
3.522,-41.565,-83.449,←,0.1000,0.00832,2.09283
4.394,-41.562,-82.209,←,0.1000,0.00956,2.08327
5.266,-41.549,-86.809,←,0.0991,0.00496,2.07831
6.139,-41.549,-83.839,←,0.1000,0.00793,2.07039
7.022,-41.536,-84.827,←,0.1000,0.00694,2.06345
7.891,-41.522,-94.339,←,0.0200,0.00000,2.06345
8.767,-41.534,-87.307,←,0.0892,0.00446,2.05899
9.643,-41.531,-84.614,→,0.1000,0.00715,2.06614
10.511,-41.533,-98.578,←,0.0200,0.00000,2.06614
11.396,-41.531,-93.013,→,0.0200,0.00000,2.06614
12.255,-41.536,-93.721,←,0.0200,0.00000,2.06614
13.141,-41.523,-85.085,←,0.1000,0.00668,2.05946
14.010,-41.528,-99.488,←,0.0200,0.00000,2.05946
14.881,-41.540,-91.650,←,0.0200,0.00000,2.05946
15.763,-41.527,-85.111,←,0.1000,0.00665,2.05281
16.628,-41.532,-85.974,←,0.1000,0.00579,2.04702
17.511,-41.519,-88.501,←,0.0653,0.00326,2.04375
18.381,-41.509,-85.988,←,0.1000,0.00578,2.03797
19.257,-41.848,-81.623,→,0.1000,0.01014,2.04812
20.136,-41.825,-82.211,←,0.1000,0.00955,2.03856
21.010,-41.795,-89.660,←,0.0421,0.00211,2.03646
21.884,-41.784,-85.765,←,0.1000,0.00600,2.03046
22.753,-41.774,-84.219,→,0.1000,0.00755,2.03800
23.638,-41.768,-93.048,→,0.0200,0.00000,2.03800
24.511,-41.759,-94.010,←,0.0200,0.00000,2.03800
25.386,-41.776,-87.378,→,0.0878,0.00439,2.04239
26.255,-41.778,-96.052,←,0.0200,0.00000,2.04239
27.124,-41.804,-94.090,←,0.0200,0.00000,2.04239
28.004,-41.807,-95.799,←,0.0200,0.00000,2.04239
28.882,-41.820,-92.030,←,0.0200,0.00000,2.04239
29.753,-41.837,-93.025,→,0.0200,0.00000,2.04239
30.631,-41.843,-88.242,←,0.0705,0.00352,2.03887
31.503,-41.868,-90.565,←,0.0240,0.00000,2.03887
32.385,-41.880,-89.622,←,0.0429,0.00214,2.03672
33.254,-41.878,-88.709,←,0.0611,0.00306,2.03367
34.131,-41.895,-88.387,←,0.0676,0.00338,2.03029
35.006,-41.886,-89.041,←,0.0545,0.00272,2.02757
35.878,-41.867,-84.320,←,0.1000,0.00745,2.02012
36.756,-41.860,-85.585,→,0.1000,0.00618,2.02630
37.625,-41.836,-95.742,→,0.0200,0.00000,2.02630
38.501,-41.818,-83.408,→,0.1000,0.00836,2.03466
39.376,-41.815,-93.570,←,0.0200,0.00000,2.03466
40.254,-41.787,-89.634,←,0.0426,0.00213,2.03253
41.118,-41.782,-89.270,←,0.0499,0.00250,2.03003
42.002,-41.772,-83.960,→,0.1000,0.00781,2.03783
42.878,-41.781,-103.805,←,0.0200,0.00000,2.03783
43.751,-41.772,-88.402,←,0.0673,0.00336,2.03447
44.628,-41.774,-90.068,→,0.0339,0.00000,2.03447
45.502,-41.778,-91.533,←,0.0200,0.00000,2.03447
46.381,-41.788,-88.474,→,0.0658,0.00329,2.03776
47.256,-41.810,-86.146,←,0.1000,0.00562,2.03214
48.124,-41.830,-88.611,←,0.0631,0.00315,2.02899
49.007,-41.834,-86.992,←,0.0955,0.00477,2.02422
49.873,-41.844,-90.991,→,0.0200,0.00000,2.02422
50.758,-41.864,-86.452,→,0.1000,0.00531,2.02953
51.630,-41.885,-97.582,←,0.0200,0.00000,2.02953
52.504,-41.891,-95.599,←,0.0200,0.00000,2.02953
53.373,-41.886,-84.701,→,0.1000,0.00706,2.03659
54.257,-41.869,-86.293,→,0.1000,0.00547,2.04207
55.131,-41.857,-85.223,←,0.1000,0.00654,2.03552
56.005,-41.827,-93.543,←,0.0200,0.00000,2.03552
56.877,-41.814,-96.594,←,0.0200,0.00000,2.03552
57.758,-41.794,-87.015,←,0.0950,0.00475,2.03077
58.626,-41.778,-89.499,←,0.0453,0.00227,2.02851
59.501,-41.780,-84.612,→,0.1000,0.00715,2.03566
60.376,-41.766,-89.332,→,0.0487,0.00243,2.03809
61.246,-41.743,-97.603,←,0.0200,0.00000,2.03809
62.120,-41.780,-88.867,←,0.0580,0.00290,2.03520
62.999,-41.775,-88.035,→,0.0746,0.00373,2.03893
63.877,-41.799,-89.892,→,0.0375,0.00000,2.03893
64.749,-41.811,-91.212,→,0.0200,0.00000,2.03893
65.630,-41.818,-94.028,←,0.0200,0.00000,2.03893
66.508,-41.834,-89.721,→,0.0409,0.00204,2.04097
67.386,-41.823,-91.875,←,0.0200,0.00000,2.04097
68.246,-41.857,-89.122,←,0.0529,0.00264,2.03833
69.131,-41.863,-87.936,→,0.0766,0.00383,2.04216
