actual_offset_V,s1_dbm,s2_dbm
-3.3,-42.2637,-84.0949
-3.2,-42.3066,-79.3152
-3.1,-42.3892,-77.7855
-3,-42.4701,-74.8624
-2.9,-42.6135,-73.8156
-2.8,-42.7607,-72.8585
-2.7,-42.9664,-72.1299
-2.6,-43.1748,-71.1793
-2.5,-43.4307,-70.7812
-2.4,-43.718,-70.0277
-2.3,-44.0624,-69.0742
-2.2,-44.4083,-69.8014
-2.1,-44.8111,-68.441
-2,-45.2809,-67.6945
-1.9,-45.7834,-67.4999
-1.8,-46.3561,-67.8591
-1.7,-46.9897,-67.6055
-1.6,-47.7241,-67.1921
-1.5,-48.5232,-66.1427
-1.4,-49.4561,-66.6667
-1.3,-50.4407,-66.2406
-1.2,-51.6462,-65.6368
-1.1,-53.0106,-65.7161
-1,-54.482,-66.1106
-0.9,-56.2019,-66.1026
-0.8,-57.8532,-65.4329
-0.7,-58.9108,-65.7201
-0.6,-58.7694,-65.4884
-0.5,-57.5724,-66.1649
-0.4,-55.8734,-65.8851
-0.3,-54.2336,-66.5719
-0.2,-52.7413,-66.3994
-0.1,-51.3662,-66.0968
0,-50.2127,-66.8456
0.1,-49.2193,-66.8112
0.2,-48.2742,-66.8116
0.3,-47.5059,-67.8286
0.4,-46.8073,-67.7203
0.5,-46.1748,-68.505
0.6,-45.5987,-69.2019
0.7,-45.0677,-68.7576
0.8,-44.6279,-69.8409
0.9,-44.2119,-70.491
1,-43.87,-70.6497
1.1,-43.5207,-72.6642
1.2,-43.2502,-73.0223
1.3,-42.9929,-73.8016
1.4,-42.8059,-75.6278
1.5,-42.6187,-77.5442
1.6,-42.4864,-83.5795
1.7,-42.3626,-87.488
1.8,-42.2647,-84.1326
1.9,-42.2075,-87.5329
2,-42.1716,-93.5943
2.1,-42.1769,-89.3068
2.2,-42.2121,-81.7498
2.3,-42.2778,-80.5829
2.4,-42.3673,-76.828
2.5,-42.4761,-75.3026
2.6,-42.6383,-73.0939
2.7,-42.8163,-72.1369
2.8,-43.035,-72.0581
2.9,-43.3391,-71.0027
3,-43.6282,-70.7087
3.1,-43.9794,-69.213
3.2,-44.363,-68.6444
3.3,-44.8018,-68.9358
3.4,-45.2923,-68.3499
3.5,-45.8132,-67.9758
3.6,-46.4597,-67.6507
3.7,-47.1346,-66.7178
3.8,-47.8876,-67.2611
3.9,-48.7833,-66.6473
4,-49.7469,-65.9185
4.1,-50.8511,-65.9822
4.2,-52.1397,-65.9428
4.3,-53.5631,-65.8229
4.4,-55.1943,-66.2292
4.5,-56.984,-65.3063
4.6,-58.3869,-65.6711
4.7,-58.9449,-65.5326
4.8,-58.1545,-65.9567
4.9,-56.5689,-66.3798
5,-54.8755,-65.7645
5.1,-53.316,-65.9496
5.2,-51.9062,-65.9537
5.3,-50.6109,-66.291
5.4,-49.5255,-66.2981
5.5,-48.5879,-67.0302
5.6,-47.7562,-67.0944
5.7,-47.0121,-68.2549
5.8,-46.3111,-67.8742
5.9,-45.7257,-69.1172
6,-45.1978,-69.7567
6.1,-44.7134,-69.6736
6.2,-44.2701,-70.0895
6.3,-43.8997,-70.846
6.4,-43.5639,-71.8307
6.5,-43.2725,-74.0062
6.6,-43.0352,-75.186
6.7,-42.8307,-76.7277
6.8,-42.6223,-78.3435
6.9,-42.4916,-84.2337
7,-42.501,-81.7387
7.1,-42.4879,-82.8716
7.2,-42.4813,-82.9035
7.3,-42.4861,-83.3084
7.4,-42.4989,-82.764
7.5,-42.4741,-79.8062
7.6,-42.4668,-83.6101
7.7,-42.4666,-80.8454
7.8,-42.4694,-83.8694
7.9,-42.4656,-84.5586
8,-42.4616,-79.9981
8.1,-42.4719,-81.8837
8.2,-42.4538,-81.3985
8.3,-42.4389,-85.8172
8.4,-42.4615,-80.547
8.5,-42.4371,-81.4197
8.6,-42.4479,-83.0395
8.7,-42.4398,-80.6172
