offset_V,s1_dbm,s2_dbm
-6,-39.8058,-83.3004
-5.9,-39.8814,-79.8997
-5.8,-39.9837,-77.2757
-5.7,-40.1017,-75.826
-5.6,-40.2699,-74.1789
-5.5,-40.4606,-73.4307
-5.4,-40.6806,-72.2136
-5.3,-40.9388,-71.2199
-5.2,-41.2445,-71.3403
-5.1,-41.5595,-70.8033
-5,-41.948,-69.6308
-4.9,-42.3562,-68.8765
-4.8,-42.8221,-67.8909
-4.7,-43.3475,-68.2566
-4.6,-43.9376,-67.2076
-4.5,-44.601,-67.4878
-4.4,-45.3458,-66.4318
-4.3,-46.189,-66.9807
-4.2,-47.1788,-66.2084
-4.1,-48.3082,-66.2393
-4,-49.6264,-65.5294
-3.9,-51.236,-65.8801
-3.8,-53.2484,-65.991
-3.7,-55.9817,-65.3453
-3.6,-59.8552,-65.7351
-3.5,-67.499,-65.4247
-3.4,-75.9597,-65.3333
-3.3,-62.4978,-65.3468
-3.2,-57.4396,-64.9494
-3.1,-54.3241,-65.3697
-3,-52.0169,-65.5614
-2.9,-50.2369,-65.9277
-2.8,-48.7893,-65.7503
-2.7,-47.5706,-65.9069
-2.6,-46.5386,-66.5681
-2.5,-45.5999,-66.973
-2.4,-44.7948,-66.5786
-2.3,-44.0967,-67.6679
-2.2,-43.484,-67.2408
-2.1,-42.91,-68.5815
-2,-42.4063,-69.0335
-1.9,-41.9646,-68.8994
-1.8,-41.559,-69.441
-1.7,-41.2307,-70.8641
-1.6,-40.91,-71.7961
-1.5,-40.6346,-72.5867
-1.4,-40.4166,-72.9896
-1.3,-40.2141,-76.1831
-1.2,-40.0343,-77.4895
-1.1,-39.9081,-77.9009
-1,-39.8094,-79.6469
-0.9,-39.7332,-82.6022
-0.8,-39.6879,-87.2586
-0.7,-39.6821,-102.886
-0.6,-39.6859,-90.5253
-0.5,-39.7403,-85.2923
-0.4,-39.81,-81.2281
-0.3,-39.92,-78.9107
-0.2,-40.0681,-74.8619
-0.1,-40.2349,-75.2566
0,-40.4322,-72.6733
0.1,-40.673,-72.3159
0.2,-40.958,-70.8648
0.3,-41.2684,-70.9611
0.4,-41.6373,-69.3642
0.5,-42.039,-68.8975
0.6,-42.5058,-68.6497
0.7,-43.0291,-68.5502
0.8,-43.6035,-67.3863
0.9,-44.2641,-67.6519
1,-45.0133,-66.8205
1.1,-45.8442,-66.3212
1.2,-46.834,-66.2585
1.3,-47.9735,-66.3081
1.4,-49.3114,-65.8332
1.5,-50.9337,-66.2311
1.6,-52.9287,-66.2265
1.7,-55.6198,-65.5419
1.8,-59.6623,-65.6401
1.9,-67.0065,-65.5501
2,-74.9793,-65.1483
2.1,-62.1299,-65.2631
2.2,-57.2056,-65.3533
2.3,-54.0812,-65.8995
2.4,-51.7809,-65.8243
2.5,-50.0009,-65.5904
2.6,-48.5642,-65.7472
2.7,-47.3492,-66.449
2.8,-46.2967,-66.47
2.9,-45.3524,-66.6738
3,-44.5797,-67.4837
3.1,-43.8754,-68.0586
3.2,-43.2642,-68.1485
3.3,-42.705,-69.0536
3.4,-42.2235,-68.7805
3.5,-41.7905,-69.1839
3.6,-41.3904,-69.4477
3.7,-41.0588,-70.2384
3.8,-40.7547,-71.2261
3.9,-40.5054,-72.9651
4,-40.2781,-74.2315
4.1,-40.1036,-75.9248
4.2,-39.9503,-76.5565
4.3,-39.8253,-77.343
4.4,-39.7324,-79.7741
4.5,-39.6958,-82.7596
4.6,-39.6584,-89.4178
4.7,-39.6674,-90.4374
4.8,-39.6993,-102.761
4.9,-39.7807,-80.9058
5,-39.8805,-78.4444
5.1,-40.0171,-76.5901
5.2,-40.1861,-75.516
5.3,-40.3837,-74.0181
5.4,-40.6327,-73.5132
5.5,-40.9031,-72.2354
5.6,-41.2186,-71.2849
5.7,-41.5847,-69.3927
5.8,-41.9934,-68.8906
5.9,-42.4679,-68.2426
6,-42.9673,-68.0292
