offset_V,s1_dbm,s2_dbm
-6,-39.6958,-88.4287
-5.9,-39.7336,-92.224
-5.8,-39.7792,-83.5828
-5.7,-39.839,-80.9071
-5.6,-39.9391,-78.7029
-5.5,-40.0645,-75.8915
-5.4,-40.2151,-74.5028
-5.3,-40.4084,-74.5088
-5.2,-40.6367,-73.1231
-5.1,-40.8811,-71.2645
-5,-41.1732,-70.6182
-4.9,-41.5088,-70.5773
-4.8,-41.8654,-69.8067
-4.7,-42.2883,-68.9621
-4.6,-42.7523,-68.4924
-4.5,-43.2835,-67.6111
-4.4,-43.8641,-67.157
-4.3,-44.5309,-67.3602
-4.2,-45.2451,-66.6393
-4.1,-46.1248,-66.3751
-4,-47.0855,-66.3551
-3.9,-48.2107,-66.394
-3.8,-49.5321,-65.8036
-3.7,-51.1423,-65.967
-3.6,-53.1414,-65.9178
-3.5,-55.7928,-65.273
-3.4,-59.6988,-65.7913
-3.3,-67.0693,-65.75
-3.2,-76.3189,-65.053
-3.1,-62.5485,-65.2779
-3,-57.5066,-65.3956
-2.9,-54.3415,-65.4337
-2.8,-52.0464,-65.9946
-2.7,-50.2515,-65.6512
-2.6,-48.7726,-65.7854
-2.5,-47.5336,-66.0049
-2.4,-46.4995,-66.7502
-2.3,-45.5789,-66.6394
-2.2,-44.786,-66.9004
-2.1,-44.0712,-66.9387
-2,-43.4413,-68.1209
-1.9,-42.8731,-68.4509
-1.8,-42.3823,-68.6489
-1.7,-41.9331,-69.5173
-1.6,-41.552,-69.556
-1.5,-41.2024,-70.338
-1.4,-40.8948,-71.4103
-1.3,-40.6221,-72.0926
-1.2,-40.3956,-74.1278
-1.1,-40.1923,-76.3616
-1,-40.0263,-77.8498
-0.9,-39.9025,-77.0692
-0.8,-39.7982,-81.3118
-0.7,-39.7338,-90.5003
-0.6,-39.7003,-99.1584
-0.5,-39.6977,-86.7979
-0.4,-39.7083,-88.8056
-0.3,-39.7647,-80.2699
-0.2,-39.8453,-81.4209
-0.1,-39.9656,-76.7281
0,-40.1068,-75.7452
0.1,-40.2765,-74.2064
0.2,-40.4883,-73.9187
0.3,-40.7418,-71.2227
0.4,-41.0238,-71.4898
0.5,-41.3498,-70.7679
0.6,-41.7391,-69.9554
0.7,-42.1787,-69.6267
0.8,-42.641,-68.2758
0.9,-43.1882,-68.4888
1,-43.7878,-67.2755
1.1,-44.472,-67.783
1.2,-45.2508,-67.0037
1.3,-46.1209,-66.5383
1.4,-47.1312,-66.1096
1.5,-48.332,-66.4984
1.6,-49.744,-65.8379
1.7,-51.4283,-65.9449
1.8,-53.6482,-65.4346
1.9,-56.6478,-65.5936
2,-61.2008,-65.8469
2.1,-71.7637,-65.1281
2.2,-69.0209,-65.5453
2.3,-60.3056,-65.8657
2.4,-56.0809,-65.5908
2.5,-53.2223,-65.8419
2.6,-51.1458,-65.8427
2.7,-49.4698,-66.2446
2.8,-48.0822,-65.9693
2.9,-46.9178,-66.6167
3,-45.9281,-66.2238
3.1,-45.0634,-67.0703
3.2,-44.3057,-66.9393
3.3,-43.6396,-67.4597
3.4,-43.0571,-67.8289
3.5,-42.5146,-69.0339
3.6,-42.0512,-68.6239
3.7,-41.6415,-69.2434
3.8,-41.2582,-69.6265
3.9,-40.944,-71.021
4,-40.6714,-72.6401
4.1,-40.4199,-72.9357
4.2,-40.2159,-75.2864
4.3,-40.0334,-74.9138
4.4,-39.8997,-77.7838
4.5,-39.8032,-78.8463
4.6,-39.7298,-85.703
4.7,-39.6968,-91.4889
4.8,-39.6714,-96.215
4.9,-39.6774,-87.1571
5,-39.7536,-84.8052
5.1,-39.8393,-79.3324
5.2,-39.9401,-77.2563
5.3,-40.0969,-76.9426
5.4,-40.2742,-75.4654
5.5,-40.4866,-72.796
5.6,-40.7497,-73.1679
5.7,-41.0539,-71.8867
5.8,-41.3825,-69.956
5.9,-41.7723,-69.426
6,-42.2048,-68.5225
