actual_offset_V,s1_dbm,s2_dbm
-4.675,-51.1508,-67.8983
-4.575,-51.5877,-67.2764
-4.475,-53.0139,-68.0621
-4.375,-54.6463,-67.4548
-4.275,-56.9756,-67.9402
-4.175,-60.1279,-67.6656
-4.075,-65.2869,-67.9925
-3.975,-78.7725,-67.8166
-3.875,-69.3849,-67.38
-3.775,-62.1065,-67.1542
-3.675,-58.1741,-67.9969
-3.575,-55.5326,-67.4514
-3.475,-53.4263,-67.7386
-3.375,-51.7623,-68.1752
-3.275,-50.4071,-68.1893
-3.175,-49.2132,-68.562
-3.075,-48.2619,-68.0118
-2.975,-47.3772,-69.123
-2.875,-46.5603,-68.4044
-2.775,-45.8818,-69.2722
-2.675,-45.2564,-69.4975
-2.575,-44.7074,-69.5941
-2.475,-44.207,-70.3982
-2.375,-43.762,-71.9127
-2.275,-43.3817,-71.3637
-2.175,-43.0388,-72.7289
-2.075,-42.7186,-73.384
-1.975,-42.4669,-73.5508
-1.875,-42.2425,-74.5129
-1.775,-42.0478,-76.7349
-1.675,-41.8849,-79.4134
-1.575,-41.736,-78.953
-1.475,-41.6297,-80.8049
-1.375,-41.5612,-83.9121
-1.275,-41.5315,-85.7808
-1.175,-41.5003,-90.3698
-1.075,-41.509,-88.0078
-0.975,-41.5541,-84.2163
-0.875,-41.6253,-82.1498
-0.775,-41.7398,-79.7586
-0.675,-41.881,-78.1053
-0.575,-42.038,-76.7602
-0.475,-42.2332,-74.4592
-0.375,-42.4763,-75.6116
-0.275,-42.7742,-73.2496
-0.175,-43.0819,-73.6741
-0.075,-43.4393,-71.443
0.025,-43.8463,-70.7857
0.125,-44.2932,-71.1827
0.225,-44.8072,-70.6409
0.325,-45.3618,-69.9408
0.425,-46.0141,-69.7709
0.525,-46.7478,-68.6922
0.625,-47.5831,-68.6545
0.725,-48.5105,-67.9315
0.825,-49.6588,-67.8643
0.925,-50.9741,-68.2924
1.025,-52.5315,-67.9594
1.125,-54.5162,-67.9619
1.225,-57.16,-67.8214
1.325,-60.8064,-67.0666
1.425,-67.6754,-67.7975
1.525,-82.1393,-67.0092
1.625,-64.7821,-67.0306
1.725,-59.4049,-67.6798
1.825,-56.1384,-67.8047
1.925,-53.7424,-67.3426
2.025,-51.9051,-68.2577
2.125,-50.4208,-67.525
2.225,-49.1826,-68.4578
2.325,-48.1294,-67.8292
2.425,-47.2008,-68.7013
2.525,-46.4045,-68.3876
2.625,-45.7048,-68.722
2.725,-45.0803,-69.6837
2.825,-44.5179,-70.494
2.925,-44.0352,-71.1137
3.025,-43.5932,-70.8154
3.125,-43.2148,-72.3847
3.225,-42.8622,-73.0722
3.325,-42.5768,-75.0966
3.425,-42.3286,-75.0311
3.525,-42.0946,-76.0637
3.625,-41.9146,-79.4393
3.725,-41.7598,-78.4253
3.825,-41.6514,-82.6695
3.925,-41.5716,-83.4658
4.025,-41.5171,-87.8214
4.125,-41.4826,-90.6062
4.225,-41.4835,-88.8593
4.325,-41.5276,-87.9093
4.425,-41.584,-83.7523
4.525,-41.6961,-79.0147
4.625,-41.8267,-79.6157
4.725,-41.982,-77.453
4.825,-42.175,-74.3358
4.925,-42.4229,-74.2634
5.025,-42.7194,-72.7371
5.125,-43.0153,-72.105
5.225,-43.3892,-72.0749
5.325,-43.7774,-72.2064
5.425,-44.2688,-70.1314
5.525,-44.7846,-69.5767
5.625,-45.376,-69.9504
5.725,-46.0468,-69.9219
5.825,-46.7639,-68.5112
5.925,-47.6151,-68.584
6.025,-48.5946,-68.2054
6.125,-49.7533,-68.1696
6.225,-51.1421,-67.4248
6.325,-52.7686,-67.34
6.425,-54.8532,-67.1485
6.525,-57.6678,-67.1708
6.625,-61.9213,-67.6735
6.725,-70.3526,-67.6546
6.825,-73.7606,-67.3125
6.925,-63.1938,-67.8586
7.025,-58.4686,-67.0655
7.125,-55.4652,-68.0482
7.225,-53.2642,-68.073
7.325,-51.5425,-67.5315
