timestamp_s,s1_dbm,s2_dbm,r,error,offset_V
0.424,-97.657,-67.402,0.03071,8.10275,0.65806
0.867,-50.042,-68.690,8.55856,-0.42511,0.66508
1.297,-50.023,-67.665,7.62315,0.51030,0.65665
1.736,-49.835,-68.332,8.41051,-0.27706,0.66123
2.180,-49.808,-68.127,8.24096,-0.10751,0.66300
2.616,-49.785,-68.173,8.30583,-0.17238,0.66585
3.051,-49.757,-67.762,7.94827,0.18519,0.66279
3.488,-49.695,-67.826,8.06343,0.07002,0.66163
3.919,-49.595,-67.548,7.90092,0.23254,0.65779
4.361,-49.545,-67.754,8.13606,-0.00261,0.65783
4.818,-49.478,-68.395,8.82713,-0.69368,0.66930
5.233,-49.617,-68.060,8.35848,-0.22503,0.67301
5.675,-49.631,-68.361,8.63928,-0.50582,0.68137
6.107,-49.690,-67.785,8.03049,0.10296,0.67967
6.547,-49.625,-68.466,8.75044,-0.61699,0.68986
6.987,-49.751,-67.609,7.81415,0.31930,0.68459
7.428,-49.656,-68.275,8.52969,-0.39623,0.69114
7.874,-49.729,-68.156,8.34367,-0.21022,0.69461
8.307,-49.743,-67.624,7.83584,0.29762,0.68969
8.732,-49.664,-68.052,8.30703,-0.17358,0.69256
9.194,-49.707,-68.036,8.24980,-0.11635,0.69448
9.615,-49.712,-67.806,8.02898,0.10448,0.69276
10.057,-49.669,-67.943,8.19814,-0.06469,0.69382
10.490,-49.670,-68.194,8.43719,-0.30373,0.69884
10.922,-49.725,-68.202,8.39131,-0.25785,0.70310
11.354,-49.763,-68.041,8.20145,-0.06800,0.70423
11.801,-49.757,-68.643,8.79641,-0.66296,0.71518
12.238,-49.899,-68.273,8.29276,-0.15931,0.71781
12.670,-49.906,-68.721,8.72508,-0.59163,0.72759
13.103,-50.000,-67.638,7.61905,0.51441,0.71909
13.543,-49.907,-67.733,7.78593,0.34753,0.71335
13.986,-49.817,-67.853,7.97622,0.15724,0.71075
14.423,-49.781,-67.884,8.03861,0.09485,0.70918
14.858,-49.770,-68.153,8.30166,-0.16820,0.71196
15.302,-49.797,-67.979,8.11150,0.02196,0.71160
15.737,-49.782,-68.342,8.47210,-0.33865,0.71719
16.175,-49.852,-68.091,8.16510,-0.03164,0.71771
16.607,-49.829,-68.444,8.52654,-0.39308,0.72421
17.049,-49.901,-67.909,7.95118,0.18228,0.72120
17.486,-49.838,-67.807,7.91533,0.21812,0.71759
