actual_offset_V,s1_dbm,s2_dbm
-3.3,-43.0064,-89.5409
-3.2,-43.0123,-80.2618
-3.1,-43.0897,-81.0237
-3,-43.1745,-78.4059
-2.9,-43.2943,-76.2181
-2.8,-43.4517,-73.8791
-2.7,-43.6321,-73.7538
-2.6,-43.8388,-73.3338
-2.5,-44.0771,-72.1046
-2.4,-44.3626,-71.4729
-2.3,-44.6694,-70.6036
-2.2,-45.0078,-70.058
-2.1,-45.3735,-69.4796
-2,-45.8218,-67.9915
-1.9,-46.3016,-68.0519
-1.8,-46.8193,-67.7642
-1.7,-47.4108,-67.0529
-1.6,-48.05,-67.4981
-1.5,-48.7919,-66.3497
-1.4,-49.6099,-66.7055
-1.3,-50.4524,-65.9236
-1.2,-51.451,-66.5876
-1.1,-52.4978,-65.7806
-1,-53.6537,-65.6962
-0.9,-54.804,-65.5307
-0.8,-55.8098,-65.8876
-0.7,-56.4892,-65.3888
-0.6,-56.525,-65.8198
-0.5,-56.039,-65.6912
-0.4,-55.1214,-66.0596
-0.3,-53.9452,-66.2365
-0.2,-52.8079,-65.8917
-0.1,-51.7063,-66.1974
0,-50.6517,-66.4605
0.1,-49.7444,-67.1785
0.2,-48.9119,-66.2095
0.3,-48.151,-66.8661
0.4,-47.4738,-67.2468
0.5,-46.8669,-67.3013
0.6,-46.3127,-68.616
0.7,-45.8072,-68.4941
0.8,-45.3771,-68.8341
0.9,-44.9631,-69.738
1,-44.608,-70.5212
1.1,-44.2743,-71.6496
1.2,-43.9934,-72.1097
1.3,-43.7685,-72.8125
1.4,-43.5503,-74.1652
1.5,-43.3759,-74.5246
1.6,-43.2192,-76.0565
1.7,-43.1068,-77.4619
1.8,-43.0133,-82.78
1.9,-42.9863,-93.3694
2,-42.9543,-94.5706
2.1,-42.9534,-92.6373
2.2,-42.9616,-99.9019
2.3,-43.0013,-84.2684
2.4,-43.0663,-83.1058
2.5,-43.172,-79.0289
2.6,-43.3198,-75.7607
2.7,-43.5202,-73.189
2.8,-43.7374,-72.5134
2.9,-43.9967,-73.1239
3,-44.274,-71.8394
3.1,-44.5774,-70.0584
3.2,-44.9374,-69.8348
3.3,-45.3376,-69.656
3.4,-45.7986,-68.9314
3.5,-46.3085,-68.7625
3.6,-46.8687,-68.3048
3.7,-47.4807,-67.8168
3.8,-48.1391,-66.6958
3.9,-48.9248,-66.4112
4,-49.803,-66.1421
4.1,-50.7372,-66.5338
4.2,-51.7806,-66.452
4.3,-52.9278,-65.8777
4.4,-54.0658,-66.1569
4.5,-55.2367,-65.5181
4.6,-56.1299,-65.8639
4.7,-56.5033,-65.475
4.8,-56.408,-65.3106
4.9,-55.549,-65.391
5,-54.4953,-65.5387
5.1,-53.3032,-66.2124
5.2,-52.1034,-66.0561
5.3,-51.0599,-65.9171
5.4,-50.0839,-66.831
5.5,-49.2349,-66.5084
5.6,-48.4106,-66.5826
5.7,-47.6979,-66.9475
5.8,-47.0548,-67.2938
5.9,-46.4914,-68.1549
6,-45.9613,-67.8265
6.1,-45.4944,-68.4544
6.2,-45.0852,-70.1191
6.3,-44.7031,-70.1625
6.4,-44.3709,-70.3385
6.5,-44.0856,-72.9457
6.6,-43.8344,-71.732
6.7,-43.5885,-72.2411
6.8,-43.4039,-74.9685
6.9,-43.2531,-78.4555
7,-43.2417,-76.9547
7.1,-43.2263,-78.3464
7.2,-43.2262,-75.7647
7.3,-43.2288,-78.92
7.4,-43.2231,-76.522
7.5,-43.2127,-75.7794
7.6,-43.2073,-78.2532
7.7,-43.2202,-75.9253
7.8,-43.2129,-75.7905
7.9,-43.217,-75.488
8,-43.203,-78.6238
8.1,-43.2109,-79.7546
8.2,-43.2204,-77.7482
8.3,-43.2062,-77.1908
8.4,-43.2085,-77.5484
8.5,-43.1966,-77.0015
8.6,-43.1903,-78.8615
8.7,-43.1829,-77.0346
