timestamp_s,s1_dbm,s2_dbm,dir,probe_V,step_V,offset_V
0.878,-43.899,-72.670,→,0.1000,0.03781,4.73781
1.754,-56.114,-65.853,←,0.0200,0.00000,4.73781
2.634,-56.137,-65.982,←,0.0200,0.00000,4.73781
3.507,-56.070,-65.545,←,0.0200,0.00000,4.73781
4.389,-56.077,-65.802,←,0.0200,0.00000,4.73781
5.252,-56.038,-66.042,←,0.0200,0.00000,4.73781
6.132,-56.002,-66.162,←,0.0200,0.00000,4.73781
6.995,-56.066,-65.980,←,0.0200,0.00000,4.73781
7.882,-56.020,-65.208,←,0.0200,0.00000,4.73781
8.753,-56.011,-66.248,←,0.0200,0.00000,4.73781
9.630,-56.022,-66.065,←,0.0200,0.00000,4.73781
10.493,-55.995,-65.373,←,0.0200,0.00000,4.73781
11.387,-55.967,-65.307,←,0.0200,0.00000,4.73781
12.257,-55.958,-65.461,←,0.0200,0.00000,4.73781
13.137,-55.983,-66.149,←,0.0200,0.00000,4.73781
14.005,-55.971,-65.313,←,0.0200,0.00000,4.73781
14.879,-55.960,-65.906,←,0.0200,0.00000,4.73781
15.752,-56.025,-66.276,←,0.0200,0.00000,4.73781
16.633,-55.960,-65.455,←,0.0200,0.00000,4.73781
17.503,-55.930,-65.685,←,0.0200,0.00000,4.73781
18.370,-55.874,-65.329,←,0.0200,0.00000,4.73781
19.247,-55.923,-66.145,←,0.0200,0.00000,4.73781
20.122,-55.906,-65.766,←,0.0200,0.00000,4.73781
21.006,-55.927,-65.886,←,0.0200,0.00000,4.73781
21.875,-55.871,-65.903,←,0.0200,0.00000,4.73781
22.754,-55.880,-65.348,←,0.0200,0.00000,4.73781
23.635,-55.882,-65.647,←,0.0200,0.00000,4.73781
24.504,-55.873,-65.516,←,0.0200,0.00000,4.73781
25.369,-55.839,-65.552,←,0.0200,0.00000,4.73781
26.254,-55.931,-65.589,←,0.0200,0.00000,4.73781
27.126,-55.848,-66.040,←,0.0200,0.00000,4.73781
28.008,-55.841,-65.409,←,0.0200,0.00000,4.73781
28.879,-55.829,-65.571,←,0.0200,0.00202,4.73579
29.747,-55.799,-65.587,←,0.0200,0.00211,4.73368
30.633,-55.898,-65.440,←,0.0200,0.00000,4.73368
31.507,-55.796,-65.566,←,0.0200,0.00212,4.73156
32.383,-55.895,-65.654,←,0.0200,0.00000,4.73156
33.258,-55.820,-66.056,←,0.0200,0.00205,4.72951
34.128,-55.851,-66.229,←,0.0200,0.00000,4.72951
34.998,-55.842,-65.826,←,0.0200,0.00000,4.72951
35.877,-55.797,-65.253,←,0.0200,0.00212,4.72739
36.752,-55.890,-65.540,←,0.0200,0.00000,4.72739
37.630,-55.844,-65.978,←,0.0200,0.00000,4.72739
38.499,-55.847,-66.168,←,0.0200,0.00000,4.72739
39.375,-55.766,-65.669,←,0.0200,0.00221,4.72518
40.251,-55.833,-65.515,←,0.0200,0.00201,4.72317
41.125,-55.902,-66.165,←,0.0200,0.00000,4.72317
42.003,-55.784,-66.038,←,0.0200,0.00216,4.72101
42.879,-55.850,-65.500,←,0.0200,0.00000,4.72101
43.755,-55.820,-65.334,←,0.0200,0.00205,4.71896
44.629,-55.812,-65.982,←,0.0200,0.00207,4.71688
45.499,-55.886,-65.990,←,0.0200,0.00000,4.71688
46.375,-55.814,-65.312,←,0.0200,0.00207,4.71482
47.257,-55.816,-65.427,←,0.0200,0.00206,4.71276
48.123,-55.849,-65.534,←,0.0200,0.00000,4.71276
49.005,-55.819,-65.761,←,0.0200,0.00205,4.71070
49.885,-55.789,-65.979,←,0.0200,0.00214,4.70856
50.748,-55.896,-65.449,←,0.0200,0.00000,4.70856
51.625,-55.889,-66.076,←,0.0200,0.00000,4.70856
52.495,-55.855,-65.751,←,0.0200,0.00000,4.70856
53.378,-55.843,-65.662,←,0.0200,0.00000,4.70856
54.245,-55.848,-65.596,←,0.0200,0.00000,4.70856
55.130,-55.878,-65.237,←,0.0200,0.00000,4.70856
56.001,-55.771,-65.550,←,0.0200,0.00220,4.70636
56.878,-55.831,-66.253,←,0.0200,0.00202,4.70435
57.747,-55.870,-65.478,←,0.0200,0.00000,4.70435
58.628,-55.865,-65.467,←,0.0200,0.00000,4.70435
59.505,-55.851,-65.582,←,0.0200,0.00000,4.70435
60.375,-55.793,-65.893,←,0.0200,0.00213,4.70222
61.248,-55.836,-65.457,←,0.0200,0.00200,4.70022
62.131,-55.794,-65.947,←,0.0200,0.00213,4.69809
63.007,-55.868,-65.796,←,0.0200,0.00000,4.69809
63.883,-55.835,-65.558,←,0.0200,0.00201,4.69608
64.757,-55.892,-65.736,←,0.0200,0.00000,4.69608
65.628,-55.825,-65.575,←,0.0200,0.00203,4.69405
66.501,-55.884,-65.383,←,0.0200,0.00000,4.69405
67.378,-55.828,-65.656,←,0.0200,0.00203,4.69202
68.248,-55.828,-66.101,←,0.0200,0.00203,4.69000
69.123,-55.835,-66.161,←,0.0200,0.00201,4.68799
69.998,-55.934,-65.620,←,0.0200,0.00000,4.68799
