offset_V,s1_dbm,s2_dbm
-6,-36.2517,-83.8717
-5.9,-36.328,-76.3266
-5.8,-36.4098,-75.5488
-5.7,-36.5319,-74.5804
-5.6,-36.6812,-71.4874
-5.5,-36.8519,-70.1879
-5.4,-37.0682,-69.4811
-5.3,-37.3073,-69.2935
-5.2,-37.567,-67.6079
-5.1,-37.8912,-67.3396
-5,-38.2593,-66.7778
-4.9,-38.6291,-65.7451
-4.8,-39.0738,-65.2306
-4.7,-39.5878,-64.7316
-4.6,-40.1423,-64.1923
-4.5,-40.774,-63.5842
-4.4,-41.492,-63.4514
-4.3,-42.3005,-63.4449
-4.2,-43.2233,-62.8208
-4.1,-44.3068,-62.6542
-4,-45.5386,-62.4058
-3.9,-47.0198,-62.1804
-3.8,-48.8481,-62.149
-3.7,-51.2566,-62.288
-3.6,-54.5235,-62.0022
-3.5,-60.0474,-61.8034
-3.4,-78.8151,-61.7856
-3.3,-62.3749,-61.9685
-3.2,-55.689,-61.8968
-3.1,-51.9375,-61.9027
-3,-49.3728,-62.1763
-2.9,-47.4371,-62.2736
-2.8,-45.8286,-62.1912
-2.7,-44.5617,-62.5967
-2.6,-43.4414,-62.6972
-2.5,-42.4854,-63.0713
-2.4,-41.6459,-63.3786
-2.3,-40.8736,-63.8383
-2.2,-40.2296,-64.5527
-2.1,-39.6362,-64.8137
-2,-39.1136,-65.3341
-1.9,-38.6202,-65.557
-1.8,-38.2168,-66.8819
-1.7,-37.8646,-67.4436
-1.6,-37.5424,-67.9136
-1.5,-37.241,-68.8996
-1.4,-37.0099,-69.9241
-1.3,-36.7718,-71.3842
-1.2,-36.5819,-73.5805
-1.1,-36.4453,-75.3167
-1,-36.3464,-78.3615
-0.9,-36.2274,-80.1138
-0.8,-36.1776,-89.8744
-0.7,-36.1862,-95.3764
-0.6,-36.1868,-82.6946
-0.5,-36.2339,-78.7472
-0.4,-36.2889,-76.4138
-0.3,-36.386,-73.6878
-0.2,-36.4886,-71.7789
-0.1,-36.6525,-71.1358
0,-36.8341,-69.9859
0.1,-37.0623,-69.1264
0.2,-37.3185,-67.8128
0.3,-37.5937,-66.8439
0.4,-37.9398,-66.4602
0.5,-38.3318,-65.4357
0.6,-38.757,-64.9747
0.7,-39.2431,-64.4237
0.8,-39.7881,-64.3449
0.9,-40.3819,-63.899
1,-41.0845,-63.2587
1.1,-41.8549,-63.2045
1.2,-42.7553,-62.908
1.3,-43.7861,-62.803
1.4,-45.003,-62.8683
1.5,-46.4552,-62.7021
1.6,-48.195,-62.3916
1.7,-50.4403,-62.1434
1.8,-53.5161,-62.0763
1.9,-58.2025,-62.0798
2,-69.8018,-61.8077
2.1,-64.7021,-61.9506
2.2,-56.5277,-62.2468
2.3,-52.4276,-62.03
2.4,-49.6736,-61.9907
2.5,-47.6223,-62.2916
2.6,-45.9836,-62.6856
2.7,-44.6218,-62.8029
2.8,-43.4679,-62.6603
2.9,-42.4666,-62.8968
3,-41.5985,-63.1696
3.1,-40.8464,-63.6667
3.2,-40.1834,-63.8659
3.3,-39.5797,-64.5765
3.4,-39.0155,-64.419
3.5,-38.5583,-65.5097
3.6,-38.1337,-65.4702
3.7,-37.7794,-66.4575
3.8,-37.4552,-66.9488
3.9,-37.1846,-68.5824
4,-36.9643,-69.7113
4.1,-36.7525,-70.1122
4.2,-36.5847,-71.5059
4.3,-36.4271,-74.1728
4.4,-36.3252,-75.647
4.5,-36.2449,-77.7643
4.6,-36.2088,-81.003
4.7,-36.1855,-88.8173
4.8,-36.1903,-103.395
4.9,-36.2028,-83.5665
5,-36.2838,-80.3511
5.1,-36.4093,-75.7343
5.2,-36.5492,-73.3048
5.3,-36.7284,-72.5245
5.4,-36.9205,-70.0035
5.5,-37.1674,-69.1343
5.6,-37.4596,-67.9841
5.7,-37.7688,-67.6164
5.8,-38.1409,-66.548
5.9,-38.5593,-65.7451
6,-39.0179,-65.1521
