actual_offset_V,s1_dbm,s2_dbm
-4.65,-44.2498,-68.2292
-4.55,-44.6406,-67.7998
-4.45,-45.1223,-68.3458
-4.35,-45.744,-68.1041
-4.25,-46.5051,-67.8727
-4.15,-47.2917,-67.3462
-4.05,-48.2732,-66.516
-3.95,-49.4352,-66.9167
-3.85,-50.7999,-66.2457
-3.75,-52.4313,-66.0959
-3.65,-54.5012,-65.9631
-3.55,-57.263,-66.3122
-3.45,-61.2681,-66.1463
-3.35,-69.5819,-65.7158
-3.25,-73.6265,-66.1962
-3.15,-62.836,-65.7878
-3.05,-58.0757,-66.7234
-2.95,-54.9933,-66.6628
-2.85,-52.7688,-66.4608
-2.75,-51.0233,-66.8939
-2.65,-49.5296,-66.6309
-2.55,-48.3114,-66.6359
-2.45,-47.2441,-67.1982
-2.35,-46.3357,-67.3109
-2.25,-45.5636,-67.1481
-2.15,-44.8319,-67.5473
-2.05,-44.2142,-69.3744
-1.95,-43.6608,-69.4109
-1.85,-43.1368,-69.4951
-1.75,-42.6956,-70.1573
-1.65,-42.3057,-70.34
-1.55,-41.9317,-70.932
-1.45,-41.6297,-71.5485
-1.35,-41.3703,-73.2278
-1.25,-41.1461,-73.9896
-1.15,-40.929,-74.3397
-1.05,-40.7484,-78.4551
-0.95,-40.6236,-77.0324
-0.85,-40.5168,-83.4668
-0.75,-40.4475,-84.9402
-0.65,-40.4008,-84.2998
-0.55,-40.3647,-92.4727
-0.45,-40.3862,-100.21
-0.35,-40.4226,-83.8408
-0.25,-40.5173,-83.7257
-0.15,-40.6229,-78.4295
-0.05,-40.7487,-77.5428
0.05,-40.9176,-76.7178
0.15,-41.1253,-74.8892
0.25,-41.3685,-73.2592
0.35,-41.6062,-71.2831
0.45,-41.9349,-72.2855
0.55,-42.2854,-70.825
0.65,-42.6813,-70.7691
0.75,-43.144,-68.8162
0.85,-43.6553,-68.4974
0.95,-44.202,-68.9288
1.05,-44.8472,-68.6061
1.15,-45.5701,-68.4905
1.25,-46.3954,-67.1494
1.35,-47.3648,-67.0097
1.45,-48.4468,-66.994
1.55,-49.7111,-67.1637
1.65,-51.3369,-66.6245
1.75,-53.2892,-66.6906
1.85,-55.8932,-66.4445
1.95,-59.719,-65.4591
2.05,-66.4731,-66.0343
2.15,-80.2076,-66.4393
2.25,-63.6131,-65.7087
2.35,-58.1224,-65.5671
2.45,-54.9447,-65.8448
2.55,-52.5491,-65.969
2.65,-50.7737,-66.9577
2.75,-49.2649,-67.2143
2.85,-48.0702,-66.8544
2.95,-47.0012,-67.2186
3.05,-46.0762,-67.7049
3.15,-45.2963,-67.4604
3.25,-44.595,-67.8954
3.35,-43.9826,-69.0012
3.45,-43.4319,-68.3494
3.55,-42.9333,-69.6318
3.65,-42.4961,-70.9838
3.75,-42.1303,-71.9991
3.85,-41.8011,-72.1235
3.95,-41.4894,-72.2299
4.05,-41.2437,-73.1188
4.15,-41.0159,-76.2086
4.25,-40.8355,-74.689
4.35,-40.6852,-77.137
4.45,-40.5435,-78.8662
4.55,-40.4673,-82.6858
4.65,-40.4081,-84.4183
4.75,-40.3764,-96.4482
4.85,-40.3897,-88.4261
4.95,-40.4328,-88.6222
5.05,-40.4935,-79.3715
5.15,-40.608,-79.7692
5.25,-40.7443,-78.7213
5.35,-40.9155,-74.4526
5.45,-41.0999,-75.8117
5.55,-41.3344,-74.4891
5.65,-41.6153,-72.3906
5.75,-41.928,-71.802
5.85,-42.2976,-70.2459
5.95,-42.7215,-70.3557
6.05,-43.1861,-70.0791
6.15,-43.7006,-68.928
6.25,-44.301,-68.0582
6.35,-44.9582,-68.6359
6.45,-45.7277,-67.4497
6.55,-46.5911,-66.6678
6.65,-47.6075,-67.1541
6.75,-48.7908,-66.4409
6.85,-50.2035,-65.9611
6.95,-51.8947,-66.5485
7.05,-54.0676,-66.7679
7.15,-56.9155,-66.4417
7.25,-61.2229,-65.7529
7.35,-70.1102,-66.7041
