timestamp_s,s1_dbm,s2_dbm,r,error,offset_V
0.593,-49.540,-66.478,7.02876,10.20341,0.78805
1.218,-44.382,-67.933,15.05010,2.18207,0.76410
1.623,-44.215,-68.815,16.98335,0.24882,0.76137
2.043,-44.171,-68.029,15.59255,1.63962,0.74338
2.675,-44.009,-67.989,15.81282,1.41935,0.72781
3.360,-43.863,-68.671,17.39438,-0.16221,0.72959
3.801,-43.860,-68.434,16.93143,0.30074,0.72629
4.233,-43.803,-69.149,18.50615,-1.27398,0.74027
4.674,-43.877,-68.876,17.78074,-0.54857,0.74629
5.112,-43.901,-68.837,17.65357,-0.42140,0.75091
5.548,-43.930,-69.141,18.22002,-0.98785,0.76175
5.978,-43.963,-69.347,18.58696,-1.35479,0.77661
6.636,-44.026,-69.393,18.55052,-1.31835,0.79108
7.237,-44.105,-67.757,15.22661,2.00556,0.76907
7.733,-43.957,-68.939,17.74564,-0.51347,0.77471
8.174,-43.982,-68.498,16.81840,0.41377,0.77017
8.602,-43.942,-68.041,16.02997,1.20220,0.75698
9.189,-43.878,-69.339,18.75254,-1.52037,0.77366
9.589,-43.950,-68.695,17.26737,-0.03520,0.77405
10.215,-43.946,-68.353,16.60791,0.62426,0.76720
10.703,-43.922,-68.995,17.93139,-0.69922,0.77487
11.254,-43.932,-68.946,17.81072,-0.57855,0.78122
11.684,-43.956,-69.243,18.37949,-1.14731,0.79380
12.271,-44.043,-69.268,18.24983,-1.01766,0.80497
12.664,-44.086,-69.286,18.19696,-0.96479,0.81556
13.201,-44.136,-67.948,15.50960,1.72257,0.79666
13.747,-44.012,-68.134,16.07341,1.15876,0.78394
14.189,-43.933,-68.626,17.16495,0.06722,0.78320
14.827,-43.947,-69.156,18.21463,-0.98246,0.79398
15.440,-43.980,-68.349,16.53639,0.69578,0.78635
15.845,-44.001,-68.179,16.17637,1.05580,0.77477
16.266,-43.992,-69.309,18.44269,-1.21052,0.78805
16.702,-44.012,-68.316,16.41436,0.81781,0.77907
17.144,-43.975,-68.883,17.59508,-0.36291,0.78306
17.684,-43.986,-69.482,18.82755,-1.59538,0.80056
18.314,-44.061,-69.287,18.25066,-1.01849,0.81174
18.919,-44.114,-69.064,17.67996,-0.44779,0.81665
19.536,-44.118,-68.247,16.08566,1.14651,0.80407
19.990,-44.038,-68.768,17.23939,-0.00722,0.80415
20.424,-44.037,-69.449,18.64621,-1.41404,0.81966
21.021,-44.111,-68.889,17.33374,-0.10156,0.82078
21.582,-44.115,-68.877,17.30143,-0.06926,0.82154
22.167,-44.132,-68.736,16.99051,0.24166,0.81889
22.717,-44.118,-69.185,17.92099,-0.68882,0.82644
23.331,-44.175,-68.837,17.10541,0.12676,0.82505
23.939,-44.196,-67.757,15.06714,2.16503,0.80130
24.362,-44.046,-68.411,16.52875,0.70342,0.79358
24.795,-44.020,-68.197,16.17505,1.05713,0.78198
25.232,-43.946,-68.106,16.14435,1.08782,0.77005
25.671,-43.894,-69.069,18.14436,-0.91219,0.78005
26.103,-43.962,-69.210,18.29760,-1.06543,0.79174
26.547,-44.008,-68.679,17.12149,0.11068,0.79053
26.980,-44.022,-69.749,19.33524,-2.10307,0.81361
27.420,-44.141,-68.768,17.03543,0.19674,0.81145
27.987,-44.144,-69.740,19.04629,-1.81412,0.83135
28.514,-44.264,-68.695,16.65514,0.57703,0.82502
28.953,-44.241,-68.443,16.22176,1.01041,0.81393
29.588,-44.170,-68.855,17.14873,0.08344,0.81302
30.043,-44.178,-68.720,16.86813,0.36404,0.80902
30.480,-44.161,-68.126,15.78397,1.44820,0.79313
30.918,-44.066,-67.898,15.54500,1.68717,0.77462
31.522,-43.958,-68.988,17.84497,-0.61280,0.78135
32.025,-43.994,-67.972,15.80909,1.42308,0.76573
32.445,-43.882,-68.518,17.05287,0.17930,0.76376
32.886,-43.865,-68.211,16.49397,0.73820,0.75566
33.464,-43.798,-69.029,18.26197,-1.02980,0.76696
34.085,-43.851,-68.394,16.87085,0.36132,0.76300
34.529,-43.826,-68.688,17.50259,-0.27042,0.76597
34.970,-43.816,-68.269,16.69758,0.53459,0.76010
35.696,-43.757,-69.486,19.33953,-2.10736,0.78322
36.175,-43.876,-69.283,18.63610,-1.40393,0.79863
36.601,-43.950,-69.425,18.78265,-1.55048,0.81564
37.052,-44.034,-68.426,16.58030,0.65187,0.80849
37.745,-43.986,-69.017,17.84559,-0.61342,0.81522
38.150,-44.031,-69.042,17.80663,-0.57446,0.82152
38.582,-44.046,-68.521,16.74081,0.49136,0.81613
39.197,-44.032,-68.416,16.56615,0.66602,0.80882
39.674,-44.006,-69.266,18.32391,-1.09174,0.82080
40.327,-44.078,-69.097,17.82243,-0.59026,0.82728
40.762,-44.108,-68.037,15.72011,1.51206,0.81069
41.204,-44.026,-68.516,16.76938,0.46279,0.80561
41.640,-43.981,-67.965,15.81890,1.41327,0.79010
42.187,-43.900,-67.896,15.84059,1.39158,0.77483
42.617,-43.820,-69.069,18.29986,-1.06769,0.78655
43.060,-43.890,-68.032,16.10955,1.12262,0.77423
43.601,-43.845,-69.471,19.11211,-1.87994,0.79486
44.043,-43.962,-69.460,18.83114,-1.59897,0.81240
44.482,-44.082,-69.051,17.71923,-0.48706,0.81775
44.916,-44.119,-69.322,18.20297,-0.97079,0.82840
45.354,-44.195,-68.310,16.06048,1.17169,0.81554
45.793,-44.149,-69.345,18.19030,-0.95813,0.82605
46.338,-44.199,-68.395,16.20882,1.02335,0.81483
46.780,-44.153,-68.227,15.98491,1.24726,0.80114
47.392,-44.068,-68.670,16.98700,0.24517,0.79845
47.983,-44.055,-68.255,16.21856,1.01361,0.78733
48.530,-43.997,-68.035,15.91850,1.31367,0.77292
48.970,-43.893,-68.080,16.19454,1.03763,0.76153
49.509,-43.837,-69.127,18.38684,-1.15467,0.77420
49.960,-43.911,-67.968,15.95462,1.27755,0.76018
50.580,-43.825,-68.134,16.42163,0.81054,0.75129
51.054,-43.752,-68.591,17.45564,-0.22347,0.75374
51.475,-43.748,-68.767,17.82127,-0.58910,0.76020
52.027,-43.772,-68.119,16.49513,0.73704,0.75212
52.471,-43.743,-68.610,17.51223,-0.28006,0.75519
53.025,-43.730,-68.928,18.19200,-0.95983,0.76572
53.452,-43.761,-69.105,18.50048,-1.26831,0.77964
53.890,-43.826,-69.629,19.50465,-2.27248,0.80457
54.464,-43.957,-68.875,17.61634,-0.38417,0.80879
55.067,-43.975,-69.508,18.90718,-1.67501,0.82717
55.692,-44.076,-68.965,17.55871,-0.32654,0.83075
56.189,-44.084,-69.212,18.04541,-0.81324,0.83967
56.819,-44.133,-69.004,17.52041,-0.28824,0.84283
57.280,-44.157,-69.402,18.29114,-1.05897,0.85445
57.719,-44.235,-68.553,16.43889,0.79328,0.84575
58.269,-44.171,-68.634,16.71631,0.51586,0.84009
58.704,-44.124,-67.989,15.60620,1.62597,0.82225
59.135,-44.056,-68.186,16.08856,1.14361,0.80970
59.587,-43.966,-69.025,17.90382,-0.67165,0.81707
60.152,-44.013,-68.197,16.18851,1.04367,0.80562
60.705,-43.962,-67.997,15.91180,1.32037,0.79113
61.110,-43.909,-68.514,16.99230,0.23987,0.78850
61.550,-43.895,-69.191,18.39848,-1.16631,0.80130
61.983,-43.964,-68.584,17.02344,0.20873,0.79901
62.415,-43.961,-69.139,18.14951,-0.91734,0.80907
62.860,-44.040,-69.165,18.04190,-0.80973,0.81796
63.465,-44.088,-68.390,16.40848,0.82370,0.80892
63.983,-44.050,-69.538,18.81161,-1.57944,0.82625
64.485,-44.166,-68.597,16.65566,0.57651,0.81992
65.110,-44.142,-68.377,16.28252,0.94965,0.80950
65.617,-44.082,-69.406,18.45837,-1.22620,0.82296
66.233,-44.165,-68.305,16.10634,1.12583,0.81060
66.768,-44.102,-68.635,16.85054,0.38163,0.80642
67.235,-44.070,-67.979,15.68369,1.54848,0.78943
67.668,-43.983,-68.939,17.69288,-0.46071,0.79448
68.109,-44.010,-69.228,18.23459,-1.00242,0.80548
68.545,-44.047,-67.857,15.50650,1.72567,0.78655
68.976,-43.947,-68.099,16.12916,1.10301,0.77444
69.429,-43.869,-69.004,18.06181,-0.82964,0.78355
69.858,-43.912,-68.881,17.71977,-0.48760,0.78890
70.296,-43.922,-69.066,18.08137,-0.84920,0.79821
70.939,-43.978,-68.980,17.78645,-0.55428,0.80430
71.382,-43.982,-68.604,17.02544,0.20673,0.80203
71.974,-43.956,-69.307,18.51587,-1.28370,0.81611
72.591,-44.028,-68.663,17.04924,0.18293,0.81411
73.026,-44.002,-69.601,19.05098,-1.81881,0.83406
