timestamp_s,s1_dbm,s2_dbm,dir,probe_V,step_V,offset_V
0.900,-44.395,-71.613,→,0.1000,0.01863,2.01863
1.765,-43.094,-82.879,←,0.1000,0.00736,2.01127
2.641,-43.073,-80.595,←,0.1000,0.00965,2.00162
3.524,-43.052,-84.093,←,0.1000,0.00615,1.99547
4.401,-43.046,-87.320,←,0.0585,0.00292,1.99254
5.264,-43.054,-81.411,←,0.1000,0.00883,1.98371
6.140,-43.036,-87.847,←,0.0479,0.00240,1.98132
7.016,-43.044,-82.511,←,0.1000,0.00773,1.97358
7.891,-43.026,-81.759,→,0.1000,0.00848,1.98207
8.771,-43.027,-82.167,→,0.1000,0.00808,1.99014
9.645,-43.013,-81.623,→,0.1000,0.00862,1.99876
10.514,-43.037,-82.518,←,0.1000,0.00773,1.99104
11.385,-43.034,-82.972,←,0.1000,0.00727,1.98377
12.266,-43.012,-91.494,←,0.0200,0.00000,1.98377
13.140,-43.026,-82.426,←,0.1000,0.00782,1.97595
14.014,-43.002,-90.991,←,0.0200,0.00000,1.97595
14.896,-43.019,-86.425,←,0.0764,0.00382,1.97213
15.772,-42.993,-92.364,←,0.0200,0.00000,1.97213
16.645,-43.030,-86.152,←,0.0818,0.00409,1.96804
17.511,-43.006,-87.939,←,0.0461,0.00230,1.96574
18.387,-43.017,-83.444,→,0.1000,0.00680,1.97254
19.269,-43.009,-86.132,←,0.0822,0.00411,1.96842
20.133,-42.999,-89.140,←,0.0221,0.00000,1.96842
21.025,-42.994,-84.184,←,0.1000,0.00606,1.96236
21.888,-43.003,-83.709,→,0.1000,0.00653,1.96890
22.766,-43.002,-84.970,←,0.1000,0.00527,1.96363
23.635,-43.007,-83.091,→,0.1000,0.00715,1.97078
24.517,-43.011,-94.483,←,0.0200,0.00000,1.97078
25.395,-42.999,-86.097,←,0.0829,0.00415,1.96663
26.269,-43.006,-84.722,←,0.1000,0.00552,1.96111
27.144,-42.991,-97.256,←,0.0200,0.00000,1.96111
28.021,-42.994,-89.466,←,0.0200,0.00000,1.96111
28.897,-43.000,-85.427,→,0.0963,0.00482,1.96593
29.772,-42.988,-86.734,←,0.0702,0.00351,1.96242
30.644,-43.001,-84.545,→,0.1000,0.00570,1.96812
31.515,-43.017,-91.987,←,0.0200,0.00000,1.96812
32.399,-43.008,-84.295,←,0.1000,0.00595,1.96217
33.269,-43.025,-84.791,→,0.1000,0.00545,1.96762
34.144,-43.009,-86.120,←,0.0825,0.00412,1.96350
35.008,-42.993,-86.695,←,0.0710,0.00355,1.95995
35.896,-43.006,-96.790,←,0.0200,0.00000,1.95995
36.769,-43.007,-85.043,←,0.1000,0.00520,1.95475
37.642,-42.999,-90.347,→,0.0200,0.00000,1.95475
38.522,-43.005,-90.600,←,0.0200,0.00000,1.95475
39.395,-43.009,-94.451,←,0.0200,0.00000,1.95475
40.272,-43.021,-85.711,→,0.0906,0.00453,1.95928
41.146,-43.008,-91.934,→,0.0200,0.00000,1.95928
42.023,-42.987,-96.635,←,0.0200,0.00000,1.95928
42.884,-42.984,-85.219,→,0.1000,0.00502,1.96431
43.764,-42.989,-93.832,←,0.0200,0.00000,1.96431
44.645,-42.990,-92.814,←,0.0200,0.00000,1.96431
45.523,-42.991,-85.053,→,0.1000,0.00519,1.96950
46.391,-42.990,-85.797,←,0.0889,0.00445,1.96505
47.268,-42.992,-100.465,←,0.0200,0.00000,1.96505
48.146,-43.001,-91.922,→,0.0200,0.00000,1.96505
49.018,-42.989,-97.145,←,0.0200,0.00000,1.96505
49.890,-43.000,-85.215,→,0.1000,0.00503,1.97008
50.763,-42.997,-88.462,←,0.0356,0.00000,1.97008
51.639,-43.015,-87.755,→,0.0498,0.00249,1.97257
52.516,-42.997,-86.152,→,0.0818,0.00409,1.97666
53.392,-42.997,-99.267,←,0.0200,0.00000,1.97666
54.261,-42.999,-85.186,←,0.1000,0.00506,1.97160
55.137,-43.010,-95.392,←,0.0200,0.00000,1.97160
56.012,-43.006,-109.756,←,0.0200,0.00000,1.97160
56.894,-43.011,-86.256,→,0.0797,0.00399,1.97559
57.772,-43.011,-87.248,→,0.0599,0.00300,1.97858
58.643,-43.018,-96.054,←,0.0200,0.00000,1.97858
59.508,-43.013,-93.490,←,0.0200,0.00000,1.97858
60.393,-43.004,-89.340,←,0.0200,0.00000,1.97858
61.267,-43.013,-92.301,←,0.0200,0.00000,1.97858
62.137,-43.010,-86.635,→,0.0722,0.00361,1.98219
63.023,-43.006,-84.378,←,0.1000,0.00587,1.97633
63.893,-42.999,-100.482,←,0.0200,0.00000,1.97633
64.765,-43.019,-86.156,→,0.0818,0.00409,1.98042
65.643,-43.005,-85.200,←,0.1000,0.00504,1.97537
66.516,-42.999,-93.122,←,0.0200,0.00000,1.97537
67.389,-43.005,-86.310,←,0.0787,0.00393,1.97144
68.268,-43.010,-86.496,←,0.0749,0.00375,1.96769
69.134,-42.981,-87.612,←,0.0526,0.00263,1.96506
70.018,-42.996,-90.334,←,0.0200,0.00000,1.96506
70.892,-42.983,-95.035,←,0.0200,0.00000,1.96506
71.768,-42.983,-84.383,←,0.1000,0.00586,1.95920
72.634,-42.982,-86.588,←,0.0731,0.00366,1.95555
73.523,-42.983,-93.612,←,0.0200,0.00000,1.95555
74.381,-42.993,-84.941,←,0.1000,0.00530,1.95024
75.271,-43.001,-91.795,←,0.0200,0.00000,1.95024
76.138,-42.987,-84.880,→,0.1000,0.00536,1.95561
77.019,-42.994,-96.116,←,0.0200,0.00000,1.95561
77.899,-42.985,-85.203,←,0.1000,0.00504,1.95057
78.774,-42.986,-87.774,←,0.0494,0.00247,1.94810
79.648,-42.999,-85.431,←,0.0962,0.00481,1.94328
80.519,-43.017,-87.197,→,0.0609,0.00305,1.94633
81.397,-43.012,-85.790,←,0.0891,0.00445,1.94188
82.264,-43.010,-90.625,←,0.0200,0.00000,1.94188
83.135,-43.014,-90.632,←,0.0200,0.00000,1.94188
84.020,-42.982,-85.429,→,0.0963,0.00481,1.94669
84.895,-42.991,-88.754,←,0.0298,0.00000,1.94669
85.769,-42.979,-90.240,←,0.0200,0.00000,1.94669
86.635,-42.983,-87.088,←,0.0631,0.00316,1.94354
87.512,-42.979,-93.048,→,0.0200,0.00000,1.94354
88.394,-42.998,-86.611,←,0.0726,0.00363,1.93990
89.270,-42.994,-86.306,←,0.0788,0.00394,1.93597
90.135,-42.987,-87.802,←,0.0488,0.00244,1.93353
91.017,-42.998,-91.209,←,0.0200,0.00000,1.93353
91.894,-42.995,-94.070,←,0.0200,0.00000,1.93353
92.765,-42.983,-86.743,←,0.0700,0.00350,1.93002
93.636,-42.993,-90.741,←,0.0200,0.00000,1.93002
94.519,-42.988,-101.833,←,0.0200,0.00000,1.93002
95.388,-42.995,-88.018,→,0.0445,0.00223,1.93225
96.263,-42.995,-89.008,←,0.0247,0.00000,1.93225
97.137,-42.985,-88.195,←,0.0410,0.00205,1.93020
98.022,-42.978,-89.049,→,0.0239,0.00000,1.93020
98.894,-42.992,-86.363,←,0.0776,0.00388,1.92632
99.761,-42.984,-85.550,←,0.0939,0.00469,1.92163
100.641,-42.985,-105.188,←,0.0200,0.00000,1.92163
101.518,-42.995,-89.978,←,0.0200,0.00000,1.92163
102.389,-43.006,-101.725,←,0.0200,0.00000,1.92163
103.260,-42.998,-86.627,←,0.0723,0.00362,1.91801
104.144,-42.997,-86.307,→,0.0787,0.00394,1.92195
105.010,-42.992,-93.366,→,0.0200,0.00000,1.92195
105.895,-42.983,-86.804,←,0.0688,0.00344,1.91851
106.763,-42.993,-90.885,→,0.0200,0.00000,1.91851
107.642,-43.002,-84.682,→,0.1000,0.00556,1.92407
108.518,-42.985,-96.672,→,0.0200,0.00000,1.92407
109.383,-42.986,-91.952,←,0.0200,0.00000,1.92407
110.269,-42.979,-92.411,←,0.0200,0.00000,1.92407
111.140,-43.002,-95.614,←,0.0200,0.00000,1.92407
112.015,-42.994,-102.397,←,0.0200,0.00000,1.92407
112.886,-42.995,-92.665,←,0.0200,0.00000,1.92407
113.768,-42.967,-88.817,→,0.0285,0.00000,1.92407
