actual_offset_V,s1_dbm,s2_dbm
-3.3,-43.2032,-78.8528
-3.2,-43.2277,-78.2212
-3.1,-43.3453,-76.7101
-3,-43.485,-75.0041
-2.9,-43.653,-74.6281
-2.8,-43.8613,-73.5854
-2.7,-44.0913,-71.3566
-2.6,-44.3664,-70.6295
-2.5,-44.6523,-70.2953
-2.4,-44.979,-70.3688
-2.3,-45.3736,-69.0367
-2.2,-45.7654,-68.9995
-2.1,-46.2171,-68.4655
-2,-46.7303,-67.6955
-1.9,-47.3031,-67.1268
-1.8,-47.9461,-66.913
-1.7,-48.6412,-67.1527
-1.6,-49.4297,-66.6346
-1.5,-50.3095,-66.6329
-1.4,-51.2533,-66.7653
-1.3,-52.2765,-65.629
-1.2,-53.3774,-66.0055
-1.1,-54.5319,-65.6857
-1,-55.642,-65.7617
-0.9,-56.3753,-66.1499
-0.8,-56.6024,-65.6652
-0.7,-56.2895,-65.3748
-0.6,-55.4392,-65.5854
-0.5,-54.3318,-66.0529
-0.4,-53.2258,-65.7023
-0.3,-52.065,-65.7735
-0.2,-51.0556,-66.7216
-0.1,-50.0916,-66.8954
0,-49.217,-67.1065
0.1,-48.4208,-67.0962
0.2,-47.7227,-67.1701
0.3,-47.0914,-68.0081
0.4,-46.5103,-68.4041
0.5,-46.0276,-68.264
0.6,-45.5419,-68.4237
0.7,-45.1287,-69.0848
0.8,-44.7829,-69.4926
0.9,-44.4375,-71.2157
1,-44.1477,-70.8089
1.1,-43.8977,-73.3147
1.2,-43.6774,-74.6583
1.3,-43.4668,-75.5003
1.4,-43.3051,-77.1962
1.5,-43.1706,-79.8288
1.6,-43.0855,-81.9684
1.7,-43.0298,-86.259
1.8,-42.9961,-95.0863
1.9,-42.9778,-89.3591
2,-42.9831,-90.2434
2.1,-43.0225,-83.9974
2.2,-43.0935,-83.7365
2.3,-43.1972,-81.2016
2.4,-43.3017,-75.6781
2.5,-43.4624,-74.2879
2.6,-43.6586,-73.0419
2.7,-43.9045,-73.1616
2.8,-44.1712,-71.4692
2.9,-44.486,-70.7698
3,-44.8322,-70.218
3.1,-45.2079,-69.9661
3.2,-45.6555,-69.1782
3.3,-46.1115,-68.2174
3.4,-46.6763,-68.4725
3.5,-47.2593,-67.9976
3.6,-47.9217,-67.5772
3.7,-48.6794,-67.1119
3.8,-49.4829,-66.4249
3.9,-50.4,-66.1694
4,-51.3604,-66.3555
4.1,-52.4893,-65.6669
4.2,-53.6504,-65.8662
4.3,-54.7904,-65.9652
4.4,-55.8587,-65.5025
4.5,-56.4696,-65.7721
4.6,-56.5369,-65.7481
4.7,-55.9152,-66.0589
4.8,-54.9219,-65.8102
4.9,-53.7516,-65.8618
5,-52.6056,-66.4097
5.1,-51.4776,-66.4849
5.2,-50.4974,-66.8144
5.3,-49.5362,-66.7959
5.4,-48.742,-67.2148
5.5,-47.9925,-66.7244
5.6,-47.3224,-67.7535
5.7,-46.7371,-67.4174
5.8,-46.1777,-68.4863
5.9,-45.7139,-69.1132
6,-45.2917,-69.2125
6.1,-44.8634,-70.6749
6.2,-44.5257,-69.81
6.3,-44.2079,-71.8623
6.4,-43.9366,-72.677
6.5,-43.7053,-74.3846
6.6,-43.4856,-73.3509
6.7,-43.3271,-76.9751
6.8,-43.2089,-76.2255
6.9,-43.1141,-79.4645
7,-43.1046,-79.5832
7.1,-43.1047,-83.9648
7.2,-43.0998,-79.5285
7.3,-43.1023,-82.1035
7.4,-43.1047,-81.8226
7.5,-43.0942,-82.9869
7.6,-43.0942,-83.3338
7.7,-43.1131,-83.0078
7.8,-43.0947,-83.7271
7.9,-43.0856,-85.7584
8,-43.0956,-85.1129
8.1,-43.0883,-83.2855
8.2,-43.0898,-80.2368
8.3,-43.0909,-85.7075
8.4,-43.0803,-80.7785
8.5,-43.0941,-83.1715
8.6,-43.086,-81.0299
8.7,-43.0748,-84.2112
