offset_V,s1_dbm,s2_dbm
-6,-39.8208,-83.5306
-5.9,-39.8955,-80.2149
-5.8,-40.0063,-75.9325
-5.7,-40.1307,-76.5828
-5.6,-40.3091,-73.5955
-5.5,-40.5004,-72.5179
-5.4,-40.7156,-72.0236
-5.3,-40.9824,-72.0984
-5.2,-41.2713,-71.1965
-5.1,-41.622,-69.4675
-5,-42.0135,-68.7658
-4.9,-42.4572,-68.2723
-4.8,-42.9219,-67.712
-4.7,-43.4712,-67.472
-4.6,-44.0833,-67.1465
-4.5,-44.7678,-67.2074
-4.4,-45.529,-66.1744
-4.3,-46.4374,-66.2595
-4.2,-47.4437,-65.8365
-4.1,-48.631,-65.5086
-4,-50.0245,-65.7291
-3.9,-51.7648,-65.2656
-3.8,-53.9304,-65.4378
-3.7,-56.9422,-65.558
-3.6,-61.6762,-65.525
-3.5,-72.6779,-65.0737
-3.4,-68.9978,-65.852
-3.3,-60.4547,-65.0418
-3.2,-56.2677,-65.7422
-3.1,-53.4709,-66.0296
-3,-51.3713,-65.731
-2.9,-49.6793,-66.0191
-2.8,-48.3199,-66.2647
-2.7,-47.1538,-65.734
-2.6,-46.1647,-66.3186
-2.5,-45.2738,-66.5423
-2.4,-44.5051,-66.8264
-2.3,-43.8231,-67.0095
-2.2,-43.2252,-68.2993
-2.1,-42.682,-67.7676
-2,-42.2007,-69.1534
-1.9,-41.7844,-69.928
-1.8,-41.4158,-70.8826
-1.7,-41.0771,-70.8242
-1.6,-40.7846,-71.4238
-1.5,-40.5484,-74.1505
-1.4,-40.3209,-73.0781
-1.3,-40.1176,-74.8703
-1.2,-39.971,-79.6769
-1.1,-39.8402,-79.8839
-1,-39.7578,-86.4775
-0.9,-39.6829,-89.3454
-0.8,-39.6674,-90.2775
-0.7,-39.6605,-86.3838
-0.6,-39.68,-86.3226
-0.5,-39.7388,-78.556
-0.4,-39.8213,-79.2017
-0.3,-39.9463,-75.0783
-0.2,-40.1059,-74.116
-0.1,-40.2777,-72.7774
0,-40.5183,-72.6989
0.1,-40.7783,-71.4881
0.2,-41.0636,-71.4626
0.3,-41.407,-70.1129
0.4,-41.7928,-69.426
0.5,-42.2081,-68.6982
0.6,-42.7105,-69.3099
0.7,-43.2783,-68.6746
0.8,-43.8984,-67.2376
0.9,-44.5812,-67.6283
1,-45.3803,-67.6353
1.1,-46.2775,-67.0168
1.2,-47.2964,-65.9754
1.3,-48.5215,-65.5999
1.4,-49.941,-66.0754
1.5,-51.7099,-65.4744
1.6,-54.0151,-65.2241
1.7,-57.1434,-65.1886
1.8,-62.1278,-65.7804
1.9,-75.1903,-65.3464
2,-67.1534,-65.2039
2.1,-59.539,-65.8356
2.2,-55.5605,-65.2439
2.3,-52.9582,-65.1395
2.4,-50.9249,-65.5685
2.5,-49.2705,-65.8811
2.6,-47.9178,-66.0826
2.7,-46.8048,-66.005
2.8,-45.8236,-66.81
2.9,-44.9686,-66.5955
3,-44.2087,-67.0919
3.1,-43.5586,-68.1833
3.2,-42.9608,-68.6523
3.3,-42.4416,-68.3116
3.4,-41.979,-68.975
3.5,-41.5465,-70.3037
3.6,-41.2109,-70.5182
3.7,-40.8917,-72.0858
3.8,-40.6097,-72.6276
3.9,-40.3595,-72.8359
4,-40.1581,-73.5861
4.1,-39.9943,-75.1514
4.2,-39.8668,-75.909
4.3,-39.7497,-78.3945
4.4,-39.6945,-81.3144
4.5,-39.6456,-85.6283
4.6,-39.6436,-92.6334
4.7,-39.6661,-86.3237
4.8,-39.7163,-83.2627
4.9,-39.8152,-78.9958
5,-39.9341,-79.654
5.1,-40.086,-76.0559
5.2,-40.2757,-75.4054
5.3,-40.4906,-73.9816
5.4,-40.7446,-71.3894
5.5,-41.0431,-70.9428
5.6,-41.3913,-69.7504
5.7,-41.7712,-69.5993
5.8,-42.2256,-69.0752
5.9,-42.7016,-67.9662
6,-43.2595,-68.4748
