timestamp_s,s1_dbm,s2_dbm,dir,probe_V,step_V,offset_V
1.110,-43.325,-73.787,→,0.1000,0.02411,2.17411
2.170,-42.474,-81.208,→,0.1000,0.01669,2.19080
3.284,-42.487,-82.054,←,0.1000,0.01585,2.17496
4.276,-42.458,-81.168,←,0.1000,0.01673,2.15823
5.480,-42.446,-85.730,←,0.1000,0.01217,2.14606
6.659,-42.421,-83.925,←,0.1000,0.01397,2.13208
7.685,-42.394,-87.570,←,0.1000,0.01033,2.12175
8.870,-42.409,-84.069,←,0.1000,0.01383,2.10792
9.855,-42.399,-83.092,→,0.1000,0.01481,2.12273
10.729,-42.402,-83.731,←,0.1000,0.01417,2.10856
11.606,-42.380,-85.889,←,0.1000,0.01201,2.09655
12.478,-42.359,-93.012,←,0.0978,0.00489,2.09166
13.518,-42.372,-83.052,→,0.1000,0.01485,2.10651
14.551,-42.381,-89.064,←,0.1000,0.00884,2.09767
15.544,-42.372,-89.073,←,0.1000,0.00883,2.08885
16.639,-42.358,-91.467,←,0.1000,0.00643,2.08241
17.717,-42.360,-88.384,←,0.1000,0.00952,2.07290
18.825,-42.358,-96.833,←,0.0213,0.00000,2.07290
19.969,-42.354,-85.430,→,0.1000,0.01247,2.08537
21.011,-42.372,-85.116,←,0.1000,0.01278,2.07258
22.071,-42.352,-93.853,←,0.0809,0.00405,2.06854
23.228,-42.353,-91.417,←,0.1000,0.00648,2.06206
24.179,-42.353,-91.202,←,0.1000,0.00670,2.05536
25.269,-42.336,-91.281,←,0.1000,0.00662,2.04874
26.148,-42.334,-85.415,←,0.1000,0.01249,2.03625
27.129,-42.330,-95.767,←,0.0427,0.00213,2.03412
28.229,-42.326,-96.318,→,0.0316,0.00000,2.03412
29.278,-42.344,-87.399,←,0.1000,0.01050,2.02362
30.417,-42.335,-96.424,←,0.0295,0.00000,2.02362
31.400,-42.337,-91.935,←,0.1000,0.00596,2.01766
32.378,-42.311,-87.797,←,0.1000,0.01010,2.00755
33.378,-42.310,-102.216,←,0.0200,0.00000,2.00755
34.480,-42.317,-98.311,→,0.0200,0.00000,2.00755
35.442,-42.306,-93.277,←,0.0925,0.00462,2.00293
36.548,-42.316,-96.645,←,0.0251,0.00000,2.00293
37.407,-42.316,-87.195,←,0.1000,0.01070,1.99223
38.284,-42.313,-88.276,→,0.1000,0.00962,2.00185
39.272,-42.312,-89.469,→,0.1000,0.00843,2.01028
40.146,-42.308,-89.974,←,0.1000,0.00793,2.00235
41.024,-42.309,-92.814,→,0.1000,0.00509,2.00744
42.086,-42.312,-96.151,←,0.0350,0.00000,2.00744
43.110,-42.290,-108.506,←,0.0200,0.00000,2.00744
44.168,-42.317,-102.117,←,0.0200,0.00000,2.00744
45.261,-42.309,-88.258,→,0.1000,0.00964,2.01708
46.161,-42.308,-95.772,←,0.0426,0.00213,2.01495
47.036,-42.311,-89.899,→,0.1000,0.00800,2.02296
48.129,-42.308,-89.294,←,0.1000,0.00861,2.01435
49.233,-42.306,-90.633,←,0.1000,0.00727,2.00708
50.102,-42.317,-88.179,→,0.1000,0.00972,2.01680
50.973,-42.309,-87.670,→,0.1000,0.01023,2.02703
51.859,-42.309,-88.962,→,0.1000,0.00894,2.03597
52.946,-42.320,-90.796,←,0.1000,0.00710,2.02887
53.964,-42.327,-87.491,→,0.1000,0.01041,2.03928
55.194,-42.319,-88.063,→,0.1000,0.00984,2.04911
56.114,-42.313,-102.483,←,0.0200,0.00000,2.04911
57.094,-42.322,-89.531,→,0.1000,0.00837,2.05748
57.972,-42.327,-85.316,←,0.1000,0.01258,2.04490
58.847,-42.333,-92.377,←,0.1000,0.00552,2.03937
59.833,-42.326,-87.971,→,0.1000,0.00993,2.04930
60.930,-42.320,-86.419,→,0.1000,0.01148,2.06078
61.913,-42.335,-86.027,←,0.1000,0.01187,2.04891
62.791,-42.339,-86.788,←,0.1000,0.01111,2.03780
63.668,-42.332,-88.873,←,0.1000,0.00903,2.02877
64.534,-42.338,-87.996,←,0.1000,0.00990,2.01887
65.630,-42.322,-90.324,←,0.1000,0.00758,2.01129
66.766,-42.317,-87.918,→,0.1000,0.00998,2.02128
68.103,-42.324,-89.264,←,0.1000,0.00864,2.01264
69.023,-42.303,-88.216,←,0.1000,0.00968,2.00296
70.051,-42.299,-93.311,←,0.0918,0.00459,1.99837
71.372,-42.300,-88.341,→,0.1000,0.00956,2.00793
72.414,-42.312,-87.212,←,0.1000,0.01069,1.99724
73.287,-42.307,-99.664,←,0.0200,0.00000,1.99724
74.378,-42.311,-89.336,→,0.1000,0.00856,2.00580
75.476,-42.309,-91.511,←,0.1000,0.00639,1.99941
76.485,-42.319,-88.781,←,0.1000,0.00912,1.99029
77.445,-42.310,-90.288,→,0.1000,0.00761,1.99791
78.422,-42.312,-102.056,←,0.0200,0.00000,1.99791
79.552,-42.312,-94.898,→,0.0600,0.00300,2.00091
80.722,-42.315,-95.497,←,0.0480,0.00240,1.99850
81.601,-42.314,-90.158,←,0.1000,0.00774,1.99076
82.738,-42.295,-93.065,←,0.0967,0.00483,1.98593
83.788,-42.308,-93.435,←,0.0893,0.00446,1.98146
84.661,-42.310,-92.627,→,0.1000,0.00527,1.98674
85.538,-42.311,-87.334,→,0.1000,0.01057,1.99730
86.631,-42.300,-90.110,←,0.1000,0.00779,1.98951
87.653,-42.289,-98.824,←,0.0200,0.00000,1.98951
88.879,-42.286,-86.984,→,0.1000,0.01092,2.00043
89.908,-42.288,-96.529,←,0.0274,0.00000,2.00043
91.023,-42.294,-90.248,→,0.1000,0.00765,2.00808
92.077,-42.325,-97.529,←,0.0200,0.00000,2.00808
93.259,-42.309,-99.280,←,0.0200,0.00000,2.00808
94.296,-42.317,-86.913,←,0.1000,0.01099,1.99710
95.387,-42.294,-89.304,←,0.1000,0.00860,1.98850
96.558,-42.313,-96.231,←,0.0334,0.00000,1.98850
