offset_V,s1_dbm,s2_dbm
-6,-39.7096,-88.404
-5.9,-39.7353,-84.5604
-5.8,-39.7924,-83.1931
-5.7,-39.8623,-83.1179
-5.6,-39.971,-79.3719
-5.5,-40.1103,-75.5115
-5.4,-40.2553,-74.5124
-5.3,-40.4453,-74.3102
-5.2,-40.6687,-72.2532
-5.1,-40.9235,-71.2524
-5,-41.2133,-70.3885
-4.9,-41.5465,-70.594
-4.8,-41.9042,-69.2033
-4.7,-42.3337,-68.8309
-4.6,-42.7954,-68.703
-4.5,-43.3482,-67.4026
-4.4,-43.9517,-67.1467
-4.3,-44.6071,-67.4605
-4.2,-45.3843,-67.1371
-4.1,-46.241,-66.4424
-4,-47.252,-66.458
-3.9,-48.3967,-66.1419
-3.8,-49.7625,-65.5409
-3.7,-51.413,-65.5833
-3.6,-53.5106,-65.9549
-3.5,-56.3297,-65.7782
-3.4,-60.4837,-65.7694
-3.3,-69.1798,-65.2774
-3.2,-72.3486,-65.069
-3.1,-61.5536,-65.1281
-3,-56.8267,-65.7057
-2.9,-53.8732,-65.3229
-2.8,-51.7195,-65.3027
-2.7,-49.9341,-65.5809
-2.6,-48.5348,-65.7026
-2.5,-47.3532,-66.3391
-2.4,-46.3209,-66.6173
-2.3,-45.4143,-66.2909
-2.2,-44.6386,-66.746
-2.1,-43.965,-67.2888
-2,-43.3296,-67.6598
-1.9,-42.7974,-68.2808
-1.8,-42.3148,-68.583
-1.7,-41.8662,-69.7377
-1.6,-41.4811,-69.9132
-1.5,-41.1524,-70.6368
-1.4,-40.8447,-72.659
-1.3,-40.6058,-72.1672
-1.2,-40.3655,-74.1442
-1.1,-40.1672,-74.9959
-1,-40.0038,-78.7699
-0.9,-39.871,-81.3616
-0.8,-39.7924,-85.7276
-0.7,-39.7317,-88.2771
-0.6,-39.6938,-92.4521
-0.5,-39.6899,-102.498
-0.4,-39.7181,-84.7382
-0.3,-39.7741,-78.9794
-0.2,-39.865,-78.0847
-0.1,-39.9786,-75.9792
0,-40.1378,-75.7086
0.1,-40.3166,-73.5947
0.2,-40.545,-73.3152
0.3,-40.8014,-71.2123
0.4,-41.0885,-71.211
0.5,-41.4218,-70.1607
0.6,-41.8146,-69.9416
0.7,-42.2352,-69.2412
0.8,-42.7244,-68.7963
0.9,-43.2867,-68.3142
1,-43.897,-67.6509
1.1,-44.6041,-66.8167
1.2,-45.3892,-67.2624
1.3,-46.3156,-67.0197
1.4,-47.3437,-66.0307
1.5,-48.596,-65.8213
1.6,-50.0511,-66.2601
1.7,-51.7955,-65.2125
1.8,-54.1044,-65.9028
1.9,-57.2501,-65.195
2,-62.3257,-65.8083
2.1,-76.3226,-65.2109
2.2,-66.9077,-65.5194
2.3,-59.4314,-65.894
2.4,-55.5042,-65.7069
2.5,-52.8301,-65.4314
2.6,-50.8462,-65.5229
2.7,-49.2237,-66.0036
2.8,-47.8709,-65.9515
2.9,-46.7757,-66.3952
3,-45.8191,-67.0945
3.1,-44.9428,-67.1392
3.2,-44.197,-67.6166
3.3,-43.5337,-67.3002
3.4,-42.9708,-67.9219
3.5,-42.4372,-69.0001
3.6,-41.9923,-69.2224
3.7,-41.587,-70.2016
3.8,-41.227,-69.7742
3.9,-40.9168,-71.9916
4,-40.6252,-71.6547
4.1,-40.3825,-72.5006
4.2,-40.2024,-73.8587
4.3,-40.0227,-75.7031
4.4,-39.8888,-77.7621
4.5,-39.7811,-81.0873
4.6,-39.731,-86.032
4.7,-39.6973,-84.4584
4.8,-39.6905,-91.8853
4.9,-39.7115,-98.0691
5,-39.7735,-83.2651
5.1,-39.8761,-82.648
5.2,-39.9734,-77.9681
5.3,-40.1415,-75.464
5.4,-40.3309,-75.156
5.5,-40.5518,-72.7613
5.6,-40.8221,-72.253
5.7,-41.1236,-71.1881
5.8,-41.4566,-70.5192
5.9,-41.8554,-69.2574
6,-42.3019,-68.8203
