actual_offset_V,s1_dbm,s2_dbm
-3.35,-42.3963,-93.4681
-3.25,-42.4464,-82.7741
-3.15,-42.5326,-81.8004
-3.05,-42.6223,-82.7215
-2.95,-42.7669,-77.2768
-2.85,-42.9154,-76.8085
-2.75,-43.103,-75.6367
-2.65,-43.3387,-74.4312
-2.55,-43.5664,-72.2762
-2.45,-43.8662,-71.8604
-2.35,-44.2008,-70.2742
-2.25,-44.5833,-69.849
-2.15,-45.001,-69.6521
-2.05,-45.4889,-69.3923
-1.95,-46.0131,-68.1138
-1.85,-46.5975,-67.8766
-1.75,-47.2433,-67.9814
-1.65,-47.9451,-66.7885
-1.55,-48.782,-67.0279
-1.45,-49.7124,-66.7974
-1.35,-50.7525,-66.5656
-1.25,-51.9633,-66.5366
-1.15,-53.3339,-66.0276
-1.05,-54.8597,-65.6338
-0.95,-56.4262,-65.9304
-0.85,-57.9507,-65.3797
-0.75,-58.8199,-66.0458
-0.65,-58.4531,-65.6183
-0.55,-57.2625,-65.3835
-0.45,-55.7017,-65.5614
-0.35,-54.035,-65.3033
-0.25,-52.586,-65.6678
-0.15,-51.3379,-66.0728
-0.05,-50.2031,-66.0704
0.05,-49.1925,-66.7454
0.15,-48.3079,-66.4884
0.25,-47.5215,-67.2169
0.35,-46.7965,-66.8773
0.45,-46.1989,-67.7155
0.55,-45.6279,-67.4768
0.65,-45.0927,-68.308
0.75,-44.6717,-68.1527
0.85,-44.2746,-69.5275
0.95,-43.9033,-69.9924
1.05,-43.5859,-69.8846
1.15,-43.3007,-70.0664
1.25,-43.0506,-72.3636
1.35,-42.8443,-73.6748
1.45,-42.6645,-75.2326
1.55,-42.5359,-76.757
1.65,-42.4199,-77.8533
1.75,-42.3371,-78.5926
1.85,-42.2771,-86.675
1.95,-42.2667,-87.0642
2.05,-42.2902,-89.4432
2.15,-42.3387,-97.8997
2.25,-42.394,-84.0548
2.35,-42.476,-81.5001
2.45,-42.6132,-79.1607
2.55,-42.7727,-76.183
2.65,-42.9521,-74.4707
2.75,-43.1871,-74.5052
2.85,-43.448,-73.7991
2.95,-43.7472,-71.6449
3.05,-44.0689,-70.6097
3.15,-44.4864,-69.8236
3.25,-44.9043,-69.3027
3.35,-45.3923,-68.5556
3.45,-45.9216,-68.8494
3.55,-46.5434,-68.4281
3.65,-47.2278,-68.0304
3.75,-47.9837,-67.4301
3.85,-48.8527,-66.7657
3.95,-49.8326,-66.4374
4.05,-50.9631,-65.9967
4.15,-52.1972,-66.3746
4.25,-53.631,-66.3473
4.35,-55.2063,-65.475
4.45,-56.9126,-65.9492
4.55,-58.4247,-65.6214
4.65,-58.8086,-66.039
4.75,-58.007,-65.9422
4.85,-56.5366,-65.7384
4.95,-54.8196,-65.5836
5.05,-53.2505,-66.0421
5.15,-51.8864,-65.3915
5.25,-50.6404,-65.655
5.35,-49.5795,-66.5753
5.45,-48.6295,-66.5238
5.55,-47.7854,-66.3154
5.65,-47.0505,-66.5448
5.75,-46.4059,-67.4981
5.85,-45.7731,-67.8476
5.95,-45.2474,-68.5902
6.05,-44.7926,-68.1387
6.15,-44.3537,-68.5892
6.25,-44.0076,-69.9128
6.35,-43.6757,-69.7802
6.45,-43.373,-71.2838
6.55,-43.1115,-71.4161
6.65,-42.9308,-72.6192
6.75,-42.7337,-73.9459
6.85,-42.5848,-76.0951
6.95,-42.5237,-76.6856
7.05,-42.5186,-75.2722
7.15,-42.5125,-77.6655
7.25,-42.5202,-77.629
7.35,-42.5019,-77.7803
7.45,-42.5029,-75.5045
7.55,-42.4928,-75.4749
7.65,-42.4855,-77.5538
7.75,-42.5032,-77.8153
7.85,-42.4823,-75.593
7.95,-42.4814,-75.9358
8.05,-42.4804,-75.8151
8.15,-42.479,-77.3627
8.25,-42.4668,-78.1827
8.35,-42.4787,-78.0874
8.45,-42.4662,-76.6561
8.55,-42.4747,-78.1061
8.65,-42.466,-76.7304
