actual_offset_V,s1_dbm,s2_dbm
-3.3,-39.4372,-92.2047
-3.2,-39.4266,-91.7541
-3.1,-39.44,-88.4117
-3,-39.4271,-81.7441
-2.9,-39.5072,-79.8618
-2.8,-39.5343,-76.8422
-2.7,-39.6236,-73.5479
-2.6,-39.7413,-72.307
-2.5,-39.9252,-70.8114
-2.4,-40.1171,-69.7664
-2.3,-40.3483,-69.2451
-2.2,-40.5824,-68.228
-2.1,-40.8551,-67.4694
-2,-41.1229,-66.9302
-1.9,-41.5109,-66.1033
-1.8,-41.8706,-65.6811
-1.7,-42.3188,-65.1521
-1.6,-42.7895,-64.5929
-1.5,-43.347,-64.0053
-1.4,-43.9359,-63.9
-1.3,-44.5539,-63.5345
-1.2,-45.3244,-63.3833
-1.1,-46.1637,-62.7698
-1,-47.0076,-62.7089
-0.9,-48.0066,-62.4813
-0.8,-49.1235,-62.3385
-0.7,-50.2381,-62.0413
-0.6,-51.4489,-62.3318
-0.5,-52.4416,-62.2388
-0.4,-53.0831,-62.0915
-0.3,-53.1882,-62.2673
-0.2,-52.564,-62.081
-0.1,-51.5836,-62.1736
0,-50.419,-62.6157
0.1,-49.3082,-62.6736
0.2,-48.1264,-62.8138
0.3,-47.1167,-62.7863
0.4,-46.1968,-62.8682
0.5,-45.4258,-63.1224
0.6,-44.6504,-63.3265
0.7,-43.9548,-64.1052
0.8,-43.3284,-63.9323
0.9,-42.7707,-64.7242
1,-42.273,-65.2821
1.1,-41.8846,-65.4669
1.2,-41.4787,-66.4513
1.3,-41.1131,-67.2571
1.4,-40.7571,-67.6342
1.5,-40.4728,-68.5722
1.6,-40.1978,-69.1982
1.7,-40.0093,-71.013
1.8,-39.8275,-71.3935
1.9,-39.7157,-73.2911
2,-39.5707,-74.9927
2.1,-39.5391,-80.923
2.2,-39.4619,-86.5299
2.3,-39.417,-89.9347
2.4,-39.449,-95.8713
2.5,-39.4628,-86.3464
2.6,-39.5209,-81.5889
2.7,-39.5882,-75.941
2.8,-39.7055,-73.7158
2.9,-39.8464,-72.5908
3,-39.9816,-70.8803
3.1,-40.2417,-69.7005
3.2,-40.4683,-69.2415
3.3,-40.7398,-67.7675
3.4,-41.0709,-66.9384
3.5,-41.3897,-66.2378
3.6,-41.7627,-65.9664
3.7,-42.2056,-65.5077
3.8,-42.7268,-64.9857
3.9,-43.2613,-64.2281
4,-43.9179,-63.9931
4.1,-44.6354,-63.8065
4.2,-45.3832,-63.5461
4.3,-46.1583,-62.921
4.4,-47.0955,-62.7283
4.5,-48.1093,-62.5416
4.6,-49.274,-62.6178
4.7,-50.4306,-62.1915
4.8,-51.6067,-62.2624
4.9,-52.5851,-62.1242
5,-53.1104,-62.2272
5.1,-52.9864,-62.0468
5.2,-52.2682,-62.0994
5.3,-51.1831,-62.0152
5.4,-50.0054,-62.4772
5.5,-48.8371,-62.3474
5.6,-47.7757,-62.4793
5.7,-46.8151,-63.0451
5.8,-45.9003,-62.9773
5.9,-45.0749,-63.302
6,-44.3064,-63.5338
6.1,-43.6365,-63.8396
6.2,-43.0396,-64.151
6.3,-42.5203,-64.9528
6.4,-42.0282,-65.2771
6.5,-41.6511,-65.7753
6.6,-41.2675,-66.3041
6.7,-40.9349,-66.6993
6.8,-40.6617,-67.8356
6.9,-40.3876,-68.8279
7,-40.3784,-68.8274
7.1,-40.3737,-69.5211
7.2,-40.3635,-69.346
7.3,-40.3557,-68.4801
7.4,-40.3368,-68.7991
7.5,-40.3456,-69.387
7.6,-40.2918,-69.2265
7.7,-40.2854,-69.2528
7.8,-40.2829,-69.4928
7.9,-40.2774,-69.2044
8,-40.2607,-69.7196
8.1,-40.2551,-68.7883
8.2,-40.2909,-69.449
8.3,-40.2583,-69.2915
8.4,-40.267,-69.6376
8.5,-40.2601,-69.3112
8.6,-40.2486,-69.5586
8.7,-40.2433,-68.9667
