offset_V,s1_dbm,s2_dbm
-6,-39.7889,-89.8122
-5.9,-39.7975,-90.9308
-5.8,-39.8449,-88.142
-5.7,-39.9019,-79.6321
-5.6,-39.995,-77.8165
-5.5,-40.0979,-75.6369
-5.4,-40.2678,-76.7838
-5.3,-40.4167,-74.6291
-5.2,-40.6364,-74.1424
-5.1,-40.8919,-71.8855
-5,-41.1681,-70.666
-4.9,-41.4786,-71.1566
-4.8,-41.8563,-69.113
-4.7,-42.2663,-69.727
-4.6,-42.7007,-68.2496
-4.5,-43.2118,-68.6542
-4.4,-43.7691,-67.8486
-4.3,-44.3975,-66.7847
-4.2,-45.113,-67.2509
-4.1,-45.9388,-66.7077
-4,-46.8487,-66.9335
-3.9,-47.9248,-66.4194
-3.8,-49.194,-66.3411
-3.7,-50.688,-65.5737
-3.6,-52.5862,-65.8561
-3.5,-55.0803,-65.945
-3.4,-58.4529,-65.2815
-3.3,-64.5155,-65.3181
-3.2,-94.8382,-65.1407
-3.1,-64.7525,-65.3971
-3,-58.7922,-65.9816
-2.9,-55.1957,-65.5885
-2.8,-52.6952,-66.0405
-2.7,-50.7645,-65.6699
-2.6,-49.2297,-66.451
-2.5,-47.9345,-66.3546
-2.4,-46.8216,-66.7373
-2.3,-45.8944,-66.283
-2.2,-45.0609,-67.3238
-2.1,-44.3408,-67.1213
-2,-43.6925,-67.7892
-1.9,-43.1186,-68.3144
-1.8,-42.5943,-68.9345
-1.7,-42.1328,-69.3427
-1.6,-41.7168,-69.5121
-1.5,-41.3765,-70.1086
-1.4,-41.0337,-72.2874
-1.3,-40.7534,-73.6798
-1.2,-40.51,-74.0803
-1.1,-40.2931,-74.4596
-1,-40.1568,-75.4324
-0.9,-39.997,-78.3209
-0.8,-39.8713,-80.5194
-0.7,-39.8039,-82.7734
-0.6,-39.7331,-90.1954
-0.5,-39.7402,-90.6547
-0.4,-39.7606,-83.9005
-0.3,-39.8167,-84.0822
-0.2,-39.8978,-80.2449
-0.1,-40.0021,-79.4708
0,-40.1539,-76.146
0.1,-40.3077,-73.8921
0.2,-40.5046,-72.4638
0.3,-40.7459,-72.2748
0.4,-41.0163,-71.1012
0.5,-41.3037,-70.583
0.6,-41.6744,-70.5419
0.7,-42.0753,-70.0256
0.8,-42.5319,-68.688
0.9,-43.0642,-68.2413
1,-43.6451,-68.5091
1.1,-44.2939,-67.2747
1.2,-45.0152,-67.6485
1.3,-45.8808,-67.1688
1.4,-46.8371,-67.0297
1.5,-47.9552,-66.5984
1.6,-49.3087,-66.0173
1.7,-50.8401,-65.9882
1.8,-52.8774,-65.6945
1.9,-55.5274,-65.5404
2,-59.3802,-65.0791
2.1,-66.702,-65.8534
2.2,-76.0454,-65.8018
2.3,-62.3542,-65.2506
2.4,-57.3704,-65.3302
2.5,-54.1069,-65.5492
2.6,-51.8997,-65.8246
2.7,-50.1002,-65.8824
2.8,-48.6322,-66.1648
2.9,-47.3987,-65.9833
3,-46.3619,-67.0998
3.1,-45.4485,-66.6862
3.2,-44.6503,-66.7836
3.3,-43.9675,-67.4817
3.4,-43.304,-67.6268
3.5,-42.7503,-68.1922
3.6,-42.2649,-68.5617
3.7,-41.8338,-69.185
3.8,-41.4419,-70.4649
3.9,-41.1039,-71.1557
4,-40.8148,-71.674
4.1,-40.5527,-72.4154
4.2,-40.3448,-74.1059
4.3,-40.1609,-74.073
4.4,-40.0338,-76.4341
4.5,-39.9155,-77.979
4.6,-39.8386,-83.1782
4.7,-39.7926,-89.372
4.8,-39.7749,-86.9424
4.9,-39.775,-90.8892
5,-39.8047,-83.6423
5.1,-39.8896,-81.8955
5.2,-40.0129,-77.7679
5.3,-40.1477,-76.0948
5.4,-40.2876,-74.8596
5.5,-40.5087,-73.2866
5.6,-40.7346,-72.1246
5.7,-41.0244,-71.733
5.8,-41.3437,-71.3794
5.9,-41.694,-69.326
6,-42.1094,-68.7708
