offset_V,s1_dbm,s2_dbm
-6,-38.5164,-87.9665
-5.9,-38.5459,-85.0888
-5.8,-38.5988,-81.379
-5.7,-38.6834,-78.1311
-5.6,-38.8151,-76.1646
-5.5,-38.9338,-75.4981
-5.4,-39.117,-73.2056
-5.3,-39.3014,-71.9221
-5.2,-39.5256,-71.2963
-5.1,-39.7935,-69.9147
-5,-40.0906,-70.2145
-4.9,-40.4507,-68.2995
-4.8,-40.8342,-68.4067
-4.7,-41.2787,-67.2063
-4.6,-41.7815,-66.8144
-4.5,-42.3431,-66.2705
-4.4,-42.9388,-66.0899
-4.3,-43.6377,-66.1153
-4.2,-44.4364,-65.2543
-4.1,-45.3231,-64.9549
-4,-46.3579,-65.2882
-3.9,-47.5692,-64.6483
-3.8,-48.9844,-64.9833
-3.7,-50.7905,-64.2544
-3.6,-53.0037,-64.1253
-3.5,-56.0872,-64.5692
-3.4,-61.0489,-64.3028
-3.3,-73.604,-64.1844
-3.2,-66.6648,-63.9561
-3.1,-58.783,-64.4597
-3,-54.7684,-64.6222
-2.9,-52.0174,-64.1129
-2.8,-49.9965,-64.2818
-2.7,-48.3809,-64.7055
-2.6,-47.0284,-64.8325
-2.5,-45.8471,-65.1162
-2.4,-44.8625,-65.4114
-2.3,-44.0219,-65.7461
-2.2,-43.2548,-65.645
-2.1,-42.5788,-66.3364
-2,-41.9867,-67.26
-1.9,-41.4498,-67.1621
-1.8,-40.9787,-68.0169
-1.7,-40.5471,-69.0366
-1.6,-40.1859,-68.8895
-1.5,-39.8766,-69.5912
-1.4,-39.5765,-70.7769
-1.3,-39.3277,-71.6374
-1.2,-39.1093,-74.4954
-1.1,-38.9246,-76.2118
-1,-38.7805,-77.6775
-0.9,-38.6659,-78.1642
-0.8,-38.5722,-81.457
-0.7,-38.5126,-85.7796
-0.6,-38.4886,-90.6209
-0.5,-38.4888,-84.3228
-0.4,-38.5195,-82.6669
-0.3,-38.5817,-77.7913
-0.2,-38.6812,-76.9046
-0.1,-38.7986,-76.0749
0,-38.9868,-73.5019
0.1,-39.1663,-71.6575
0.2,-39.3941,-71.5321
0.3,-39.6701,-69.7682
0.4,-39.9746,-69.8706
0.5,-40.3246,-69.0535
0.6,-40.7085,-67.8822
0.7,-41.149,-67.9375
0.8,-41.6452,-67.2456
0.9,-42.2033,-66.5873
1,-42.8455,-66.0697
1.1,-43.5461,-65.8999
1.2,-44.3643,-65.5831
1.3,-45.2932,-64.9937
1.4,-46.3637,-65.3645
1.5,-47.6238,-64.7997
1.6,-49.1616,-64.7765
1.7,-50.9706,-64.7815
1.8,-53.4532,-64.3403
1.9,-56.8468,-64.4832
2,-62.6059,-64.5884
2.1,-87.1829,-64.4068
2.2,-63.5024,-64.4519
2.3,-57.3387,-64.2825
2.4,-53.7384,-64.7057
2.5,-51.2425,-64.325
2.6,-49.3226,-64.6073
2.7,-47.7793,-65.1393
2.8,-46.5042,-64.6456
2.9,-45.38,-65.5424
3,-44.4255,-65.6126
3.1,-43.6224,-65.4288
3.2,-42.8858,-66.0118
3.3,-42.2524,-66.9986
3.4,-41.6629,-67.2459
3.5,-41.1637,-67.4397
3.6,-40.7201,-68.4408
3.7,-40.3161,-68.242
3.8,-39.9743,-69.6538
3.9,-39.6599,-70.9295
4,-39.396,-70.2315
4.1,-39.1647,-72.5546
4.2,-38.9628,-74.3063
4.3,-38.8085,-74.9081
4.4,-38.6805,-76.7624
4.5,-38.5827,-80.1917
4.6,-38.5093,-85.7041
4.7,-38.486,-85.188
4.8,-38.4857,-94.3017
4.9,-39.6895,-90.8635
5,-39.7505,-84.7068
5.1,-39.8519,-78.6049
5.2,-39.9765,-76.6789
5.3,-40.147,-74.9325
5.4,-40.3498,-75.0526
5.5,-40.565,-73.0376
5.6,-40.8359,-71.3925
5.7,-41.1478,-70.6976
5.8,-41.504,-69.5796
5.9,-41.8923,-69.7686
6,-42.3514,-69.0843
