timestamp_s,s1_dbm,s2_dbm,r,error,offset_V
0.524,-45.195,-68.338,14.35926,35.55792,0.64843
0.982,-42.348,-73.606,36.55095,13.36623,0.61176
1.420,-42.250,-75.115,43.97627,5.94090,0.59547
1.852,-42.177,-74.573,41.66769,8.24949,0.57284
2.296,-42.118,-76.132,50.19659,-0.27942,0.57361
2.735,-42.115,-76.360,51.55488,-1.63771,0.57810
3.164,-42.121,-74.911,43.59971,6.31746,0.56077
3.609,-42.066,-75.066,44.66938,5.24780,0.54638
4.040,-42.031,-75.255,45.83211,4.08507,0.53517
4.503,-41.991,-77.688,60.93442,-11.01725,0.56539
4.916,-42.046,-76.331,51.78969,-1.87252,0.57053
5.372,-42.049,-76.999,55.91099,-5.99381,0.58697
5.790,-42.083,-75.084,44.67264,5.24454,0.57258
6.222,-42.041,-75.103,44.98487,4.93231,0.55905
6.673,-42.027,-77.227,57.54890,-7.63173,0.57999
7.109,-42.048,-75.509,47.10253,2.81465,0.57227
7.542,-42.037,-74.884,43.88870,6.02848,0.55573
7.976,-41.989,-76.058,50.51736,-0.60019,0.55738
8.425,-42.000,-76.159,51.04279,-1.12561,0.56047
8.853,-42.003,-75.310,46.27408,3.64310,0.55047
9.286,-41.983,-76.891,55.63958,-5.72240,0.56617
9.741,-42.012,-77.537,59.73805,-9.82087,0.59311
10.165,-42.059,-75.077,44.76103,5.15614,0.57896
10.618,-42.036,-76.458,52.61463,-2.69746,0.58636
11.039,-42.052,-76.602,53.39361,-3.47643,0.59590
11.510,-42.050,-76.023,49.96078,-0.04360,0.59602
11.912,-42.067,-75.263,45.69068,4.22650,0.58442
12.359,-42.035,-75.152,45.27881,4.63836,0.57170
12.802,-42.001,-76.029,50.28156,-0.36439,0.57270
13.225,-42.011,-77.286,58.03972,-8.12254,0.59498
13.658,-42.047,-75.015,44.50501,5.41217,0.58014
14.105,-42.024,-76.142,50.80420,-0.88703,0.58257
14.545,-42.011,-75.194,45.62014,4.29704,0.57078
14.981,-42.001,-77.310,58.27004,-8.35287,0.59369
15.426,-42.048,-75.635,47.78787,2.12931,0.58785
15.852,-42.018,-75.981,49.90983,0.00734,0.58783
16.293,-42.027,-76.553,53.24945,-3.33227,0.59697
16.731,-42.047,-74.964,44.24586,5.67131,0.58142
17.163,-42.002,-75.318,46.32098,3.59619,0.57155
17.599,-41.996,-77.337,58.48294,-8.56576,0.59505
18.046,-42.017,-75.136,45.28498,4.63220,0.58234
18.476,-41.989,-77.590,60.26182,-10.34465,0.61072
18.909,-42.065,-76.809,54.59634,-4.67917,0.62355
19.348,-42.068,-74.601,42.32776,7.58942,0.60273
19.787,-42.046,-75.409,46.57385,3.34333,0.59356
20.228,-42.008,-75.397,46.71557,3.20161,0.58478
20.660,-41.993,-77.668,60.77775,-10.86058,0.61457
21.097,-42.050,-75.504,47.06566,2.85152,0.60675
21.534,-42.035,-74.575,42.36410,7.55308,0.58603
21.972,-41.985,-76.028,50.36657,-0.44939,0.58727
22.407,-41.995,-75.116,45.29660,4.62058,0.57459
22.848,-41.985,-77.262,58.05573,-8.13855,0.59692
23.282,-42.035,-77.083,56.54687,-6.62970,0.61510
23.727,-42.057,-77.161,56.91187,-6.99470,0.63429
24.164,-42.107,-74.916,43.69349,6.22369,0.61721
24.610,-42.074,-74.662,42.60260,7.31457,0.59715
