actual_offset_V,s1_dbm,s2_dbm
-4.65,-42.9072,-71.9595
-4.55,-43.0713,-72.8987
-4.45,-43.3275,-70.9183
-4.35,-43.6599,-70.825
-4.25,-44.0095,-70.3578
-4.15,-44.442,-70.0748
-4.05,-44.9001,-69.4801
-3.95,-45.4667,-69.2
-3.85,-46.0575,-69.4314
-3.75,-46.76,-68.9153
-3.65,-47.5416,-68.6336
-3.55,-48.4154,-68.609
-3.45,-49.4274,-68.0872
-3.35,-50.5848,-67.255
-3.25,-52.0062,-67.2891
-3.15,-53.763,-66.8454
-3.05,-55.9536,-67.5583
-2.95,-58.9527,-67.9577
-2.85,-63.6624,-67.1669
-2.75,-74.3845,-67.692
-2.65,-71.0745,-66.8199
-2.55,-62.3593,-67.2561
-2.45,-58.1746,-67.2768
-2.35,-55.3356,-67.5098
-2.25,-53.2357,-67.7559
-2.15,-51.4773,-67.1822
-2.05,-50.1137,-67.3753
-1.95,-48.9492,-67.6055
-1.85,-47.9556,-68.7028
-1.75,-47.0807,-68.4875
-1.65,-46.3192,-69.1374
-1.55,-45.6335,-69.1264
-1.45,-45.0369,-69.7464
-1.35,-44.4851,-70.0352
-1.25,-44.0117,-70.9344
-1.15,-43.5687,-71.4883
-1.05,-43.2029,-72.3262
-0.95,-42.8519,-72.8961
-0.85,-42.5668,-73.8154
-0.75,-42.3028,-73.5463
-0.65,-42.0882,-75.8159
-0.55,-41.8865,-75.5826
-0.45,-41.7225,-79.3532
-0.35,-41.6046,-80.1977
-0.25,-41.5366,-81.4725
-0.15,-41.4687,-88.6929
-0.05,-41.4337,-88.2951
0.05,-41.4263,-90.5675
0.15,-41.4455,-89.0297
0.25,-41.4994,-86.239
0.35,-41.5536,-81.9874
0.45,-41.6569,-80.3271
0.55,-41.8148,-78.5293
0.65,-41.9759,-76.4067
0.75,-42.1767,-76.1417
0.85,-42.4335,-74.9973
0.95,-42.7236,-73.5679
1.05,-43.0362,-71.7795
1.15,-43.4251,-71.6718
1.25,-43.8429,-71.0065
1.35,-44.3063,-70.2685
1.45,-44.8233,-69.6384
1.55,-45.4257,-69.1052
1.65,-46.0938,-68.6024
1.75,-46.8568,-68.2459
1.85,-47.7595,-67.9924
1.95,-48.7715,-67.6051
2.05,-49.9329,-67.3856
2.15,-51.307,-67.9593
2.25,-52.9574,-67.7978
2.35,-55.1482,-66.9635
2.45,-58.0794,-67.0594
2.55,-62.4574,-67.5992
2.65,-72.1085,-66.975
2.75,-72.1468,-67.5697
2.85,-62.5897,-67.49
2.95,-58.1917,-67.5014
3.05,-55.2279,-67.015
3.15,-53.1089,-67.2436
3.25,-51.4023,-67.9981
3.35,-49.9897,-67.5375
3.45,-48.7944,-68.2687
3.55,-47.7766,-68.2042
3.65,-46.9214,-68.1232
3.75,-46.1568,-69.0406
3.85,-45.4636,-69.7954
3.95,-44.8782,-70.4873
4.05,-44.3451,-70.1867
4.15,-43.8497,-70.9779
4.25,-43.4314,-71.9122
4.35,-43.0683,-71.577
4.45,-42.7347,-73.7263
4.55,-42.4438,-73.3881
4.65,-42.1983,-74.4373
4.75,-41.987,-76.9439
4.85,-41.8197,-76.9552
4.95,-41.6825,-81.3044
5.05,-41.5644,-84.6211
5.15,-41.4851,-88.0092
5.25,-41.4394,-103.279
5.35,-41.4246,-90.8257
5.45,-41.435,-93.3493
5.55,-41.4623,-88.1621
5.65,-41.5405,-80.8187
5.75,-41.6507,-81.6959
5.85,-41.7947,-78.4016
5.95,-41.9686,-76.9798
6.05,-42.1693,-75.5889
6.15,-42.413,-73.5121
6.25,-42.7056,-72.7823
6.35,-43.0282,-71.5713
6.45,-43.3947,-70.9206
6.55,-43.8152,-70.3189
6.65,-44.2806,-70.6238
6.75,-44.8033,-69.4038
6.85,-45.4444,-68.5573
6.95,-46.089,-68.4391
7.05,-46.8955,-67.9807
7.15,-47.8178,-68.3616
7.25,-48.8067,-68.3316
7.35,-49.9903,-67.467
