offset_V,s1_dbm,s2_dbm
-6,-39.7821,-85.9877
-5.9,-39.8316,-79.9189
-5.8,-39.9159,-77.6085
-5.7,-40.0203,-76.6276
-5.6,-40.1552,-77.2076
-5.5,-40.3262,-74.0973
-5.4,-40.5244,-73.7759
-5.3,-40.7485,-71.7798
-5.2,-41.0081,-71.8177
-5.1,-41.306,-71.0341
-5,-41.6517,-69.5347
-4.9,-42.0257,-69.2999
-4.8,-42.4711,-68.8386
-4.7,-42.9408,-68.1413
-4.6,-43.4867,-67.3719
-4.5,-44.0897,-67.188
-4.4,-44.7757,-66.5619
-4.3,-45.5476,-66.273
-4.2,-46.4119,-66.4763
-4.1,-47.4419,-66.0473
-4,-48.6121,-66.2995
-3.9,-50.0104,-65.5338
-3.8,-51.6919,-65.9993
-3.7,-53.8937,-65.4492
-3.6,-56.7557,-65.7413
-3.5,-61.3787,-65.8007
-3.4,-71.3431,-65.1779
-3.3,-69.5157,-65.2627
-3.2,-60.8952,-65.3099
-3.1,-56.4873,-65.5961
-3,-53.6474,-65.3357
-2.9,-51.5189,-65.5656
-2.8,-49.8383,-66.1709
-2.7,-48.4248,-65.7458
-2.6,-47.2992,-66.4401
-2.5,-46.2547,-66.5352
-2.4,-45.3893,-66.9926
-2.3,-44.6205,-66.7493
-2.2,-43.9376,-67.436
-2.1,-43.3161,-67.7736
-2,-42.7462,-68.4944
-1.9,-42.277,-68.4326
-1.8,-41.8576,-69.8637
-1.7,-41.4814,-70.0579
-1.6,-41.1491,-71.2116
-1.5,-40.8346,-72.6993
-1.4,-40.5893,-72.2077
-1.3,-40.3622,-74.9056
-1.2,-40.1859,-75.3821
-1.1,-40.0171,-76.8354
-1,-39.9002,-81.1905
-0.9,-39.8089,-81.8272
-0.8,-39.7383,-85.7176
-0.7,-39.7024,-90.2319
-0.6,-39.7067,-88.812
-0.5,-39.7373,-85.312
-0.4,-39.791,-80.4777
-0.3,-39.884,-80.8648
-0.2,-39.9998,-76.4953
-0.1,-40.1401,-74.3768
0,-40.327,-73.7192
0.1,-40.5491,-72.7184
0.2,-40.7957,-71.1813
0.3,-41.0967,-70.4951
0.4,-41.4249,-69.9429
0.5,-41.8039,-68.9838
0.6,-42.2332,-68.4225
0.7,-42.7128,-68.9724
0.8,-43.2659,-68.3308
0.9,-43.8581,-68.1133
1,-44.5842,-67.6893
1.1,-45.3258,-67.1008
1.2,-46.2349,-66.9743
1.3,-47.2595,-66.0168
1.4,-48.4575,-66.4642
1.5,-49.8708,-65.9383
1.6,-51.5965,-65.6832
1.7,-53.8077,-65.2575
1.8,-56.8645,-65.9025
1.9,-61.6131,-65.2915
2,-72.9117,-65.627
2.1,-68.3776,-65.5171
2.2,-60.0923,-65.3378
2.3,-56.0203,-65.3155
2.4,-53.176,-65.9841
2.5,-51.1117,-66.1446
2.6,-49.4797,-65.6464
2.7,-48.0956,-65.7766
2.8,-46.9142,-66.6669
2.9,-45.9602,-66.9433
3,-45.0738,-67.4213
3.1,-44.3342,-67.6597
3.2,-43.6538,-67.2632
3.3,-43.0612,-68.1143
3.4,-42.5277,-68.1664
3.5,-42.0654,-69.3979
3.6,-41.6423,-69.9259
3.7,-41.2801,-70.9478
3.8,-40.958,-71.6048
3.9,-40.693,-71.3798
4,-40.4549,-72.4952
4.1,-40.2474,-73.5223
4.2,-40.0681,-74.6208
4.3,-39.9231,-76.9565
4.4,-39.8157,-79.4226
4.5,-39.7395,-81.7389
4.6,-39.6955,-84.2836
4.7,-39.6879,-91.2545
4.8,-39.7097,-98.1712
4.9,-39.7476,-82.2357
5,-39.8485,-83.3662
5.1,-39.9459,-79.9624
5.2,-40.0963,-75.2355
5.3,-40.2697,-75.821
5.4,-40.4838,-72.6103
5.5,-40.7376,-71.6521
5.6,-41.0387,-70.8092
5.7,-41.3773,-70.7686
5.8,-41.7655,-70.3509
5.9,-42.1848,-69.4635
6,-42.6898,-68.1314
