actual_offset_V,s1_dbm,s2_dbm
-3.3,-42.5121,-84.7216
-3.2,-42.602,-81.5448
-3.1,-42.7013,-77.5297
-3,-42.8571,-77.9209
-2.9,-43.0233,-77.1344
-2.8,-43.209,-74.3106
-2.7,-43.4304,-73.3145
-2.6,-43.7158,-71.1098
-2.5,-44.0174,-71.6324
-2.4,-44.3669,-70.4635
-2.3,-44.7697,-69.5067
-2.2,-45.2109,-68.8562
-2.1,-45.7063,-69.1264
-2,-46.2524,-68.0973
-1.9,-46.8555,-67.6081
-1.8,-47.5517,-67.8337
-1.7,-48.3155,-67.2426
-1.6,-49.1929,-67.2232
-1.5,-50.1368,-67.1909
-1.4,-51.2659,-66.1736
-1.3,-52.5182,-66.5443
-1.2,-53.9062,-66.3142
-1.1,-55.4433,-66.2447
-1,-57.1177,-66.0074
-0.9,-58.4459,-65.56
-0.8,-58.8917,-65.3248
-0.7,-58.1915,-65.7639
-0.6,-56.7042,-65.5703
-0.5,-55.1039,-65.6711
-0.4,-53.5462,-66.1371
-0.3,-52.1628,-65.753
-0.2,-50.9066,-66.0679
-0.1,-49.8398,-66.1496
0,-48.8903,-66.4747
0.1,-48.0521,-66.7217
0.2,-47.2972,-66.4959
0.3,-46.6105,-67.3144
0.4,-45.9837,-67.1258
0.5,-45.4469,-68.1177
0.6,-44.9752,-68.0781
0.7,-44.548,-68.394
0.8,-44.1422,-68.9407
0.9,-43.8176,-69.2214
1,-43.5117,-69.908
1.1,-43.2466,-70.9626
1.2,-42.9879,-71.743
1.3,-42.7797,-73.4147
1.4,-42.6207,-75.3865
1.5,-42.4897,-75.1335
1.6,-42.3819,-77.4002
1.7,-42.3123,-83.4133
1.8,-42.2856,-85.0257
1.9,-42.2849,-97.3328
2,-42.3066,-90.1464
2.1,-42.3529,-86.3749
2.2,-42.4231,-91.0226
2.3,-42.5342,-80.2049
2.4,-42.6558,-80.5894
2.5,-42.8178,-76.0695
2.6,-43.0083,-74.8852
2.7,-43.2648,-74.8195
2.8,-43.5218,-72.9734
2.9,-43.8137,-72.2162
3,-44.1658,-70.458
3.1,-44.5629,-70.2062
3.2,-44.9912,-69.0437
3.3,-45.4748,-69.3106
3.4,-46.0511,-68.007
3.5,-46.6756,-67.4603
3.6,-47.3676,-67.9419
3.7,-48.1318,-67.0552
3.8,-49.0391,-67.2272
3.9,-50.0024,-66.7992
4,-51.1796,-66.1581
4.1,-52.4371,-66.2345
4.2,-53.885,-66.2648
4.3,-55.6132,-65.5379
4.4,-57.2475,-66.1361
4.5,-58.5982,-65.8164
4.6,-58.7333,-65.3852
4.7,-57.8864,-65.2242
4.8,-56.2613,-65.9552
4.9,-54.6345,-65.8192
5,-53.0657,-65.4591
5.1,-51.7203,-65.899
5.2,-50.492,-65.7435
5.3,-49.4682,-66.144
5.4,-48.526,-66.7788
5.5,-47.7009,-66.9571
5.6,-46.9527,-67.2446
5.7,-46.3039,-67.0276
5.8,-45.7253,-68.0045
5.9,-45.2108,-68.1699
6,-44.7464,-68.1744
6.1,-44.3466,-69.3978
6.2,-43.9648,-70.3395
6.3,-43.6482,-69.8488
6.4,-43.3691,-71.3018
6.5,-43.1085,-71.6664
6.6,-42.8881,-72.259
6.7,-42.7234,-75.2329
6.8,-42.573,-75.405
6.9,-42.4539,-76.4923
7,-42.446,-79.0982
7.1,-42.4597,-77.1847
7.2,-42.4401,-78.1973
7.3,-42.4448,-79.2497
7.4,-42.4458,-78.4747
7.5,-42.4422,-76.9051
7.6,-42.4575,-76.911
7.7,-42.4488,-76.9604
7.8,-42.432,-76.9291
7.9,-42.4446,-77.827
8,-42.4418,-79.3818
8.1,-42.4385,-77.0777
8.2,-42.4405,-78.1716
8.3,-42.4393,-78.9873
8.4,-42.434,-77.1716
8.5,-42.4352,-76.746
8.6,-42.4272,-80.0214
8.7,-42.4219,-78.9719
