offset_V,s1_dbm,s2_dbm
-6,-39.7042,-91.9425
-5.9,-39.7417,-84.1265
-5.8,-39.7965,-83.5283
-5.7,-39.8871,-79.4005
-5.6,-40.0214,-78.1211
-5.5,-40.144,-75.5727
-5.4,-40.3252,-75.8024
-5.3,-40.5259,-72.6054
-5.2,-40.7484,-71.7811
-5.1,-41.0348,-70.8021
-5,-41.3385,-70.831
-4.9,-41.681,-70.4497
-4.8,-42.0917,-68.5853
-4.7,-42.511,-68.5333
-4.6,-43.0131,-67.865
-4.5,-43.5573,-67.3814
-4.4,-44.1818,-67.8683
-4.3,-44.8711,-67.0159
-4.2,-45.675,-66.985
-4.1,-46.5731,-66.5498
-4,-47.6111,-66.5014
-3.9,-48.8366,-65.8306
-3.8,-50.2879,-66.0347
-3.7,-52.067,-65.9917
-3.6,-54.3103,-65.895
-3.5,-57.5534,-65.481
-3.4,-62.4966,-65.2071
-3.3,-76.7153,-65.78
-3.2,-66.9468,-65.7951
-3.1,-59.7139,-65.7525
-3,-55.8041,-65.6903
-2.9,-53.145,-65.4479
-2.8,-51.1267,-65.7746
-2.7,-49.485,-66.1855
-2.6,-48.1574,-66.3197
-2.5,-47.0191,-65.9271
-2.4,-46.0344,-66.8632
-2.3,-45.1858,-67.1028
-2.2,-44.4386,-67.0513
-2.1,-43.7645,-67.7944
-2,-43.179,-67.8395
-1.9,-42.6529,-68.1096
-1.8,-42.181,-69.3434
-1.7,-41.7653,-70.0547
-1.6,-41.3777,-71.0622
-1.5,-41.0686,-70.9463
-1.4,-40.794,-71.831
-1.3,-40.521,-73.2238
-1.2,-40.3074,-74.0494
-1.1,-40.1273,-75.1779
-1,-39.964,-78.3578
-0.9,-39.8567,-81.7003
-0.8,-39.7757,-82.1562
-0.7,-39.7092,-85.3935
-0.6,-39.6923,-92.7639
-0.5,-39.687,-92.433
-0.4,-39.7369,-86.4071
-0.3,-39.8033,-79.1372
-0.2,-39.9028,-77.2952
-0.1,-40.0175,-75.8817
0,-40.1778,-74.8651
0.1,-40.3648,-74.2463
0.2,-40.608,-71.7039
0.3,-40.8827,-71.7443
0.4,-41.16,-70.2634
0.5,-41.518,-70.2372
0.6,-41.9159,-68.9459
0.7,-42.3544,-68.9442
0.8,-42.8643,-68.1918
0.9,-43.4304,-67.9348
1,-44.0479,-68.0103
1.1,-44.7945,-67.5419
1.2,-45.5969,-66.6727
1.3,-46.5203,-66.3783
1.4,-47.5994,-66.7611
1.5,-48.8622,-66.2896
1.6,-50.3384,-65.6491
1.7,-52.2613,-66.1182
1.8,-54.6744,-65.6348
1.9,-58.0709,-65.8649
2,-64.0154,-65.8735
2.1,-89.3486,-65.4476
2.2,-64.6752,-65.7806
2.3,-58.5073,-65.4622
2.4,-54.902,-65.9703
2.5,-52.4199,-66.0891
2.6,-50.5044,-65.5252
2.7,-48.9354,-66.3833
2.8,-47.6589,-66.4302
2.9,-46.5743,-66.7214
3,-45.617,-67.0025
3.1,-44.7761,-67.1926
3.2,-44.0574,-67.0022
3.3,-43.421,-67.7309
3.4,-42.8483,-68.2434
3.5,-42.3436,-68.7671
3.6,-41.8904,-69.0642
3.7,-41.4943,-70.4673
3.8,-41.1412,-70.3161
3.9,-40.8356,-70.781
4,-40.5701,-71.7178
4.1,-40.3507,-72.5864
4.2,-40.1496,-75.4551
4.3,-39.9962,-78.0868
4.4,-39.8696,-76.7936
4.5,-39.7814,-78.571
4.6,-39.7141,-83.2739
4.7,-39.6728,-88.8207
4.8,-39.6672,-93.1788
4.9,-39.7048,-86.2999
5,-39.7658,-81.2812
5.1,-39.8605,-78.3455
5.2,-40.0048,-77.1517
5.3,-40.1456,-76.8121
5.4,-40.3666,-73.1862
5.5,-40.5802,-73.1657
5.6,-40.8581,-72.2345
5.7,-41.1576,-71.0355
5.8,-41.5176,-70.0401
5.9,-41.9216,-69.6885
6,-42.3704,-69.0826
