timestamp_s,s1_dbm,s2_dbm,dir,probe_V,step_V,offset_V
0.895,-42.973,-71.779,→,0.1000,0.01524,2.31524
1.773,-42.340,-79.217,←,0.1000,0.00780,2.30744
2.658,-42.325,-80.516,←,0.1000,0.00650,2.30094
3.531,-42.315,-77.646,←,0.1000,0.00937,2.29157
4.394,-42.308,-78.857,←,0.1000,0.00816,2.28341
5.271,-42.286,-78.628,←,0.1000,0.00839,2.27502
6.149,-42.287,-80.361,←,0.1000,0.00665,2.26837
7.030,-42.284,-78.593,→,0.1000,0.00842,2.27679
7.911,-42.288,-78.380,←,0.1000,0.00864,2.26816
8.781,-42.276,-82.370,←,0.0929,0.00465,2.26351
9.662,-42.275,-80.370,←,0.1000,0.00665,2.25686
10.523,-42.273,-81.481,←,0.1000,0.00553,2.25133
11.410,-42.278,-80.978,←,0.1000,0.00604,2.24529
12.274,-42.266,-79.496,←,0.1000,0.00752,2.23777
13.157,-42.259,-79.155,←,0.1000,0.00786,2.22991
14.029,-42.272,-79.913,←,0.1000,0.00710,2.22281
14.903,-42.240,-79.578,←,0.1000,0.00744,2.21537
15.777,-42.253,-81.178,←,0.1000,0.00584,2.20953
16.650,-42.241,-80.647,←,0.1000,0.00637,2.20316
17.526,-42.261,-82.229,←,0.0957,0.00479,2.19838
18.405,-42.245,-81.097,←,0.1000,0.00592,2.19246
19.275,-42.243,-80.830,←,0.1000,0.00619,2.18627
20.146,-42.224,-80.525,→,0.1000,0.00649,2.19276
21.023,-42.243,-80.530,→,0.1000,0.00649,2.19925
21.902,-42.243,-80.352,←,0.1000,0.00666,2.19259
22.781,-42.227,-81.224,→,0.1000,0.00579,2.19838
23.649,-42.238,-84.685,←,0.0466,0.00233,2.19605
24.528,-42.242,-85.200,←,0.0363,0.00000,2.19605
25.401,-42.247,-81.310,←,0.1000,0.00571,2.19034
26.277,-42.235,-80.971,←,0.1000,0.00604,2.18430
27.154,-42.249,-84.056,←,0.0592,0.00296,2.18134
28.018,-42.231,-82.538,←,0.0895,0.00448,2.17686
28.902,-42.216,-86.889,←,0.0200,0.00000,2.17686
29.778,-42.216,-86.817,←,0.0200,0.00000,2.17686
30.653,-42.225,-82.105,←,0.0982,0.00491,2.17195
31.525,-42.201,-82.263,←,0.0951,0.00475,2.16720
32.407,-42.238,-80.573,→,0.1000,0.00644,2.17364
33.282,-42.216,-83.214,←,0.0760,0.00380,2.16984
34.155,-42.222,-83.420,←,0.0719,0.00360,2.16624
35.026,-42.198,-83.003,←,0.0803,0.00401,2.16223
35.904,-42.226,-80.955,←,0.1000,0.00606,2.15617
36.771,-42.233,-86.522,←,0.0200,0.00000,2.15617
37.659,-42.224,-82.172,→,0.0969,0.00484,2.16101
38.524,-42.207,-86.315,←,0.0200,0.00000,2.16101
39.399,-42.213,-85.659,←,0.0271,0.00000,2.16101
40.282,-42.216,-82.173,←,0.0969,0.00484,2.15617
41.150,-42.213,-84.081,←,0.0587,0.00293,2.15323
42.032,-42.216,-80.955,←,0.1000,0.00606,2.14717
42.904,-42.215,-85.238,←,0.0356,0.00000,2.14717
43.782,-42.202,-84.769,←,0.0449,0.00225,2.14493
44.654,-42.201,-81.464,←,0.1000,0.00555,2.13937
45.529,-42.208,-88.300,←,0.0200,0.00000,2.13937
46.399,-42.214,-87.911,←,0.0200,0.00000,2.13937
47.273,-42.206,-88.533,←,0.0200,0.00000,2.13937
48.153,-42.203,-84.460,←,0.0511,0.00256,2.13682
49.027,-42.209,-82.978,←,0.0808,0.00404,2.13278
49.902,-42.197,-87.813,←,0.0200,0.00000,2.13278
50.780,-42.202,-87.074,→,0.0200,0.00000,2.13278
51.657,-42.186,-83.636,→,0.0676,0.00338,2.13616
52.519,-42.200,-86.605,→,0.0200,0.00000,2.13616
53.402,-42.197,-88.195,←,0.0200,0.00000,2.13616
54.276,-42.208,-87.802,←,0.0200,0.00000,2.13616
55.157,-42.216,-83.160,→,0.0771,0.00386,2.14002
56.024,-42.227,-81.606,→,0.1000,0.00541,2.14543
56.898,-42.225,-84.748,←,0.0453,0.00227,2.14316
57.778,-42.225,-88.040,←,0.0200,0.00000,2.14316
58.650,-42.221,-82.646,→,0.0874,0.00437,2.14753
59.529,-42.208,-86.198,←,0.0200,0.00000,2.14753
60.404,-42.206,-81.322,←,0.1000,0.00569,2.14183
61.270,-42.193,-84.779,←,0.0447,0.00224,2.13960
62.149,-42.198,-84.260,→,0.0551,0.00276,2.14235
63.024,-42.214,-81.534,←,0.1000,0.00548,2.13687
63.900,-42.202,-84.576,←,0.0488,0.00244,2.13443
64.775,-42.204,-86.683,←,0.0200,0.00000,2.13443
65.654,-42.205,-83.598,←,0.0684,0.00342,2.13101
66.526,-42.198,-87.156,←,0.0200,0.00000,2.13101
67.394,-42.195,-83.156,←,0.0772,0.00386,2.12715
