actual_offset_V,s1_dbm,s2_dbm
-4.65,-39.7441,-66.0693
-4.55,-40.0507,-64.9139
-4.45,-40.4945,-65.6664
-4.35,-40.9275,-64.7036
-4.25,-41.586,-65.0044
-4.15,-42.2614,-63.8454
-4.05,-42.8877,-63.9553
-3.95,-43.7471,-63.1623
-3.85,-44.7395,-63.2606
-3.75,-45.8414,-63.1
-3.65,-47.2821,-63.1934
-3.55,-48.7943,-63.1864
-3.45,-50.9222,-63.0163
-3.35,-53.8057,-62.693
-3.25,-57.9825,-62.7622
-3.15,-65.7336,-62.6794
-3.05,-70.1645,-62.7099
-2.95,-59.4553,-62.9313
-2.85,-54.6708,-62.9901
-2.75,-51.6934,-62.7225
-2.65,-49.3048,-63.1133
-2.55,-47.5235,-63.7739
-2.45,-46.1151,-63.6618
-2.35,-44.8021,-63.3484
-2.25,-43.7962,-63.77
-2.15,-42.8651,-63.8656
-2.05,-42.0802,-64.6097
-1.95,-41.4069,-64.6102
-1.85,-40.7637,-64.7506
-1.75,-40.2049,-65.0306
-1.65,-39.6771,-65.8942
-1.55,-39.214,-65.9271
-1.45,-38.8544,-67.3486
-1.35,-38.4801,-67.2915
-1.25,-38.1756,-67.9166
-1.15,-37.9216,-69.795
-1.05,-37.6747,-70.3609
-0.95,-37.4972,-71.8899
-0.85,-37.2907,-72.1086
-0.75,-37.1438,-73.2828
-0.65,-37.056,-77.4243
-0.55,-36.9552,-81.0905
-0.45,-36.9385,-83.6828
-0.35,-36.9103,-97.7792
-0.25,-36.9901,-91.2964
-0.15,-36.9847,-84.539
-0.05,-37.0498,-77.3744
0.05,-37.1826,-76.0913
0.15,-37.2779,-73.2089
0.25,-37.4892,-71.8936
0.35,-37.6836,-70.946
0.45,-37.8856,-70.8571
0.55,-38.1794,-69.5212
0.65,-38.4353,-67.1557
0.75,-38.8161,-66.7378
0.85,-39.1935,-66.8043
0.95,-39.7178,-66.3725
1.05,-40.1654,-65.242
1.15,-40.7421,-65.6634
1.25,-41.3766,-64.656
1.35,-42.0626,-64.0411
1.45,-42.9075,-64.0335
1.55,-43.8262,-63.6421
1.65,-45.0095,-63.4461
1.75,-46.1769,-63.2418
1.85,-47.7317,-63.0596
1.95,-49.7296,-63.3316
2.05,-52.0516,-62.6118
2.15,-55.6661,-63.1707
2.25,-61.5343,-62.241
2.35,-80.2591,-62.3012
2.45,-60.8207,-62.3316
2.55,-55.1769,-62.6502
2.65,-51.7628,-62.7764
2.75,-49.3887,-63.2702
2.85,-47.5224,-63.0236
2.95,-46.1058,-63.257
3.05,-44.8042,-63.4105
3.15,-43.7673,-63.6928
3.25,-42.8083,-64.3969
3.35,-42.026,-64.1829
3.45,-41.3335,-65.0296
3.55,-40.6993,-64.9483
3.65,-40.1349,-65.143
3.75,-39.6144,-66.6619
3.85,-39.2042,-66.2839
3.95,-38.7803,-67.073
4.05,-38.446,-67.7367
4.15,-38.139,-68.7345
4.25,-37.8601,-69.1714
4.35,-37.5975,-71.6347
4.45,-37.4645,-72.2348
4.55,-37.2934,-74.3571
4.65,-37.1401,-76.5505
4.75,-37.0744,-77.8116
4.85,-37.0094,-80.9954
4.95,-36.9461,-90.9522
5.05,-36.9686,-94.2669
5.15,-36.9947,-86.852
5.25,-37.066,-83.2439
5.35,-37.1688,-75.1875
5.45,-37.254,-74.1748
5.55,-37.4144,-72.9028
5.65,-37.629,-70.8472
5.75,-37.8104,-70.3207
5.85,-38.0863,-69.3665
5.95,-38.4037,-67.3412
6.05,-38.7561,-67.2162
6.15,-39.1753,-66.8655
6.25,-39.5497,-66.0601
6.35,-40.0917,-65.6144
6.45,-40.6444,-65.113
6.55,-41.2482,-64.5964
6.65,-42.0471,-64.342
6.75,-42.8403,-63.8096
6.85,-43.7252,-63.6517
6.95,-44.9466,-62.9284
7.05,-46.2025,-63.2248
7.15,-47.6528,-63.1165
7.25,-49.6392,-62.7684
7.35,-52.1687,-62.3947
