timestamp_s,s1_dbm,s2_dbm,r,error,offset_V
0.552,-43.426,-64.228,10.96763,-7.74295,1.12050
1.000,-41.526,-64.552,14.16862,-4.54195,1.16592
1.438,-41.807,-64.719,13.98320,-4.72738,1.21320
1.979,-42.128,-64.279,12.80964,-5.90094,1.27221
2.420,-42.546,-64.133,12.00525,-6.70532,1.33926
2.849,-43.113,-63.901,10.94889,-7.76168,1.41688
3.400,-43.768,-63.713,9.93694,-8.77364,1.50461
3.949,-44.649,-63.572,8.83392,-9.87665,1.60338
4.381,-45.756,-63.495,7.70827,-11.00231,1.71340
4.929,-47.325,-63.185,6.20894,-12.50163,1.83842
5.486,-49.532,-63.237,4.84457,-13.86600,1.97708
6.028,-53.051,-62.751,3.05494,-15.65564,2.13363
6.579,-60.110,-62.855,1.37157,-17.33900,2.30702
7.122,-66.280,-62.538,0.64996,-18.06061,2.48763
7.668,-54.108,-62.771,2.71110,-15.99947,2.64763
8.211,-49.732,-62.777,4.48991,-14.22066,2.78983
8.768,-47.251,-63.193,6.26706,-12.44352,2.91427
9.308,-45.446,-63.486,7.98044,-10.73014,3.02157
9.742,-44.254,-63.625,9.30144,-9.40914,3.11566
10.183,-43.346,-63.588,10.28285,-8.42772,3.19994
10.617,-42.604,-64.441,12.35483,-6.35575,3.26349
11.170,-42.096,-64.410,13.05374,-5.65683,3.32006
11.727,-41.683,-64.360,13.61079,-5.09978,3.37106
12.146,-41.255,-64.657,14.79428,-3.91629,3.41022
12.701,-41.065,-64.500,14.85054,-3.86004,3.44882
13.264,-40.848,-65.166,16.44029,-2.27029,3.47153
13.683,-40.709,-65.363,17.08934,-1.62123,3.48774
14.114,-40.600,-65.220,17.01992,-1.69066,3.50465
14.665,-40.499,-65.386,17.55228,-1.15830,3.51623
15.218,-40.358,-65.298,17.66227,-1.04831,3.52671
15.759,-40.335,-65.335,17.78310,-0.92748,3.53599
16.308,-40.301,-65.404,17.99492,-0.71566,3.54314
16.743,-40.255,-65.248,17.76884,-0.94173,3.55256
17.394,-40.201,-65.540,18.49144,-0.21913,3.55475
17.950,-40.175,-65.451,18.35574,-0.35484,3.55830
18.385,-40.132,-65.720,19.02753,0.31696,3.55513
18.929,-40.190,-65.169,17.74037,-0.97020,3.56483
19.494,-40.110,-65.660,18.94622,0.23565,3.56248
19.914,-40.119,-65.713,19.04222,0.33165,3.55916
20.457,-40.153,-65.430,18.35982,-0.35075,3.56267
20.902,-40.110,-65.723,19.08263,0.37206,3.55895
21.445,-40.125,-65.579,18.73531,0.02473,3.55870
22.094,-40.109,-65.710,19.05792,0.34734,3.55523
22.653,-40.121,-65.668,18.93910,0.22853,3.55294
23.087,-40.149,-65.770,19.10107,0.39050,3.54904
23.529,-40.155,-65.455,18.40778,-0.30279,3.55206
24.072,-40.138,-65.756,19.09432,0.38374,3.54823
24.511,-40.103,-65.523,18.66284,-0.04773,3.54870
25.057,-40.156,-65.547,18.60176,-0.10882,3.54979
25.499,-40.104,-65.111,17.79707,-0.91351,3.55893
25.929,-40.086,-65.705,19.09717,0.38660,3.55506
26.374,-40.121,-65.674,18.95131,0.24073,3.55265
26.916,-40.109,-65.549,18.70768,-0.00289,3.55268
27.452,-40.110,-65.589,18.79274,0.08216,3.55186
28.004,-40.096,-65.452,18.52668,-0.18389,3.55370
28.561,-40.106,-65.638,18.90570,0.19513,3.55175
28.987,-40.074,-65.530,18.74150,0.03093,3.55144
29.429,-40.077,-65.665,19.02944,0.31886,3.54825
29.865,-40.114,-65.466,18.51825,-0.19232,3.55017
30.423,-40.092,-65.868,19.44410,0.73352,3.54284
30.961,-40.165,-65.486,18.45159,-0.25899,3.54543
31.613,-40.126,-65.801,19.21979,0.50921,3.54034
32.050,-40.146,-65.402,18.31360,-0.39698,3.54431
32.603,-40.130,-65.717,19.02519,0.31461,3.54116
33.150,-40.112,-65.488,18.57043,-0.14015,3.54256
33.701,-40.136,-65.281,18.08201,-0.62856,3.54885
34.130,-40.055,-65.410,18.52497,-0.18560,3.55070
34.561,-40.105,-65.484,18.57683,-0.13374,3.55204
35.115,-40.056,-65.722,19.19936,0.48878,3.54715
35.550,-40.095,-65.576,18.79525,0.08467,3.54631
35.999,-40.085,-65.340,18.31264,-0.39793,3.55029
36.437,-40.055,-65.643,19.02692,0.31634,3.54712
36.881,-40.080,-65.558,18.79039,0.07982,3.54632
37.420,-40.065,-65.493,18.68214,-0.02844,3.54661
37.975,-40.106,-65.740,19.13113,0.42055,3.54240
38.407,-40.096,-65.736,19.14318,0.43260,3.53808
38.850,-40.125,-65.614,18.81441,0.10383,3.53704
39.275,-40.090,-65.196,18.00029,-0.71028,3.54414
39.825,-40.091,-65.702,19.07978,0.36921,3.54045
40.262,-40.118,-65.788,19.20894,0.49836,3.53547
40.811,-40.077,-65.398,18.45265,-0.25793,3.53804
41.257,-40.120,-65.715,19.04196,0.33139,3.53473
41.717,-40.064,-65.532,18.76528,0.05471,3.53418
42.128,-40.160,-65.907,19.38126,0.67068,3.52748
42.569,-40.151,-65.217,17.91773,-0.79285,3.53541
43.014,-40.136,-65.620,18.80363,0.09305,3.53447
