offset_V,s1_dbm,s2_dbm
-6,-34.7898,-80.4055
-5.9,-34.7169,-86.5976
-5.8,-34.7371,-102.716
-5.7,-34.7441,-82.4177
-5.6,-34.8832,-82.6402
-5.5,-34.9386,-78.8816
-5.4,-35.0443,-74.1466
-5.3,-35.1467,-71.9261
-5.2,-35.2991,-71.2212
-5.1,-35.4298,-68.78
-5,-35.6854,-67.3413
-4.9,-35.9465,-67.224
-4.8,-36.2403,-66.2244
-4.7,-36.547,-65.3778
-4.6,-36.9099,-64.7621
-4.5,-37.3194,-63.8572
-4.4,-37.808,-63.1978
-4.3,-38.3578,-62.9758
-4.2,-38.9271,-62.8067
-4.1,-39.6134,-62.519
-4,-40.3756,-61.9623
-3.9,-41.2408,-61.4714
-3.8,-42.2254,-61.5342
-3.7,-43.357,-61.083
-3.6,-44.7262,-60.9119
-3.5,-46.3257,-60.7226
-3.4,-48.3827,-60.5419
-3.3,-51.2069,-60.7599
-3.2,-55.0145,-60.6005
-3.1,-63.0484,-60.6162
-3,-69.6165,-60.6323
-2.9,-57.0833,-60.4667
-2.8,-52.3653,-60.7377
-2.7,-49.2156,-60.5586
-2.6,-47.0493,-60.589
-2.5,-45.2211,-61.0801
-2.4,-43.7372,-61.272
-2.3,-42.5804,-60.9502
-2.2,-41.5236,-61.428
-2.1,-40.5906,-61.5366
-2,-39.7984,-61.9758
-1.9,-39.1121,-62.4956
-1.8,-38.4271,-63.0082
-1.7,-37.9083,-63.8924
-1.6,-37.3922,-64.4107
-1.5,-36.9537,-64.9959
-1.4,-36.5447,-64.7893
-1.3,-36.248,-66.6725
-1.2,-35.9066,-66.9372
-1.1,-35.6537,-67.8424
-1,-35.4371,-69.3938
-0.9,-35.2504,-71.7019
-0.8,-35.0832,-73.8764
-0.7,-34.9356,-74.0561
-0.6,-34.8311,-78.8337
-0.5,-34.7907,-81.8516
-0.4,-34.7259,-98.1217
-0.3,-34.7713,-94.072
-0.2,-34.7232,-82.904
-0.1,-34.8406,-76.8105
0,-34.8872,-73.6842
0.1,-34.9619,-73.5869
0.2,-35.1429,-70.8444
0.3,-35.3008,-68.9557
0.4,-35.5023,-67.7779
0.5,-35.7473,-67.0268
0.6,-36.0535,-65.1228
0.7,-36.3781,-65.845
0.8,-36.7522,-64.5531
0.9,-37.1556,-64.1392
1,-37.6185,-63.8249
1.1,-38.167,-62.7109
1.2,-38.7664,-62.6733
1.3,-39.4515,-62.2107
1.4,-40.2248,-61.5151
1.5,-41.0661,-61.4767
1.6,-42.0548,-61.2123
1.7,-43.2855,-61.3913
1.8,-44.6415,-61.1521
1.9,-46.3066,-60.9755
2,-48.3456,-60.9589
2.1,-51.2035,-60.6493
2.2,-55.4451,-60.5834
2.3,-64.2666,-60.7718
2.4,-66.3632,-60.6051
2.5,-56.0133,-60.2789
2.6,-51.6563,-60.3046
2.7,-48.6666,-60.6521
2.8,-46.4799,-61.3676
2.9,-44.7668,-60.9614
3,-43.376,-61.2026
3.1,-42.1377,-61.2055
3.2,-41.138,-61.2389
3.3,-40.2608,-61.5165
3.4,-39.4767,-61.8431
3.5,-38.7894,-62.4293
3.6,-38.2076,-62.5991
3.7,-37.7055,-64.0934
3.8,-37.1722,-63.7751
3.9,-36.7811,-63.9754
4,-36.4099,-65.1618
4.1,-36.104,-65.6372
4.2,-35.7586,-67.5349
4.3,-35.5142,-67.5604
4.4,-35.2796,-69.5422
4.5,-35.1044,-70.2963
4.6,-34.9912,-70.8581
4.7,-34.8543,-73.2982
4.8,-34.8521,-74.75
4.9,-34.7414,-80.4743
5,-34.7164,-93.3902
5.1,-34.7883,-91.8409
5.2,-34.8232,-80.0405
5.3,-34.8857,-79.419
5.4,-34.9353,-75.3594
5.5,-35.1126,-71.8413
5.6,-35.337,-70.7447
5.7,-35.5288,-68.1345
5.8,-35.7356,-68.0726
5.9,-36.0735,-67.3146
6,-36.3943,-66.1415
